test/stochastic/0/peg-unplug-side-v1/return/avg	test/stochastic/0/peg-unplug-side-v1/return/std	test/stochastic/0/peg-unplug-side-v1/return/max	test/stochastic/0/peg-unplug-side-v1/return/min	test/stochastic/0/peg-unplug-side-v1/ep_length	test/stochastic/0/peg-unplug-side-v1/success	test/stochastic/average_success	test/deterministic/0/peg-unplug-side-v1/return/avg	test/deterministic/0/peg-unplug-side-v1/return/std	test/deterministic/0/peg-unplug-side-v1/return/max	test/deterministic/0/peg-unplug-side-v1/return/min	test/deterministic/0/peg-unplug-side-v1/ep_length	test/deterministic/0/peg-unplug-side-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-27.90760518400707	2.097873185205724	-25.06191880129506	-31.081402148655723	200.0	0.0	0.0	-30.421962622211122	0.0	-30.421962622211122	-30.421962622211122	200.0	0.0	0.0	1	-52.27760846642022	19.306307849874827	-22.031906436813994	-109.16250943976281	200.0	20000	20000	7.5337005	7.0020986	20.809462	-21.727581	7.5338974	7.001905	20.734928	-21.810925	2.0593758	4.5100956	52.933186	-14.730033	-7.86126	0.028980777	0.028755255	0.1094712250005748	0.0	0.0	0.0	165.06809329986572
-19.834800881830798	2.542787518973547	-17.292633048161846	-26.735991106080164	200.0	0.0	0.0	-21.13416829527189	0.0	-21.13416829527189	-21.13416829527189	200.0	0.0	0.0	2	-29.56526131952556	7.3788236021845535	-20.407509202454783	-68.07991550510276	200.0	40000	40000	-5.8131495	5.898593	4.7557817	-41.057953	-5.8131084	5.898666	4.8210573	-41.5133	3.9969347	5.233143	103.26297	-13.5566635	5.7825694	0.04564612	0.045285285	0.0036352222324581816	0.0	0.0	0.0	351.8286054134369
-94.24433083253115	4.218546277387364	-89.8484247016555	-102.71828856012723	200.0	0.0	0.0	-94.33271184342044	0.0	-94.33271184342044	-94.33271184342044	200.0	0.0	0.0	3	3389.7079819909786	12977.543179335717	100974.4921875	-233.7554855082726	200.0	60000	60000	437.1255	1557.3485	44143.21	-316.89453	437.1457	1557.3251	44023.492	-315.98032	5.5224338	8.47122	268.76474	-13.984471	-453.1193	4595.323	4609.809	0.6074394066350418	0.0	0.0	0.05	533.169554233551
21602.186978938273	23641.532089740234	74533.07648226136	-102.39849328346054	200.0	0.2	0.2	7871.735576125021	0.0	7871.735576125021	7871.735576125021	200.0	0.0	0.0	4	15257.281747708072	30444.315674526595	159803.203125	-167.5867706372173	200.0	80000	80000	3833.9856	8919.71	93503.36	-2446.346	3834.0908	8919.203	94071.86	-2321.3784	4.091687	5.6795726	91.39888	-13.828807	-3876.1936	167252.02	171228.78	3.5108341528117655	0.0	0.0	0.23	717.5274574756622
35866.110532911065	70243.98018547165	245045.03125	2400.499874946264	200.0	0.4	0.4	21420.373559813743	0.0	21420.373559813743	21420.373559813743	200.0	0.0	0.0	5	79454.95453660538	85950.61414030795	306299.46875	-105.08815799159602	200.0	100000	100000	14375.269	21095.066	125417.44	-5488.7974	14374.767	21095.203	125153.56	-4977.5103	4.0633545	4.4883165	77.23448	-13.772712	-14523.181	709267.94	712514.4	11.355350471568107	0.0	0.0	0.62	904.1118471622467
96388.33	52945.74	194957.14	21341.03	200.0	0.9	0.9	262118.36	0.0	262118.36	262118.36	200.0	1.0	1.0	6	122889.92307719836	102298.45175457103	331544.71875	-92.34566764157509	200.0	120000	120000	36274.477	35050.992	154567.66	-34439.51	36273.46	35051.164	155499.72	-33586.574	4.021173	3.930121	68.44853	-16.661493	-36612.664	1865255.5	1889703.5	22.500332087039947	0.0	0.0	0.77	1091.3572022914886
214683.92	79393.766	343596.22	82004.13	200.0	1.0	1.0	15830.59	0.0	15830.59	15830.59	200.0	0.0	0.0	7	199252.22	101983.766	357488.88	2657.8594	200.0	140000	140000	62743.14	44767.98	176299.2	-52749.465	62742.965	44767.473	177152.66	-53648.88	4.0020804	3.728902	53.708393	-13.438758	-63213.23	2483409.5	2514188.0	28.734590585327147	0.0	0.0	0.94	1280.0434806346893
129517.34805929707	95135.31689385363	269039.96875	-53.10390134891015	200.0	0.8	0.8	268486.9	0.0	268486.9	268486.9	200.0	1.0	1.0	8	238711.86	100030.09	361040.25	1270.7368	200.0	160000	160000	85594.0	51008.758	193874.98	-62139.78	85593.96	51008.562	192573.61	-62714.793	4.002189	3.5943568	66.29087	-13.567836	-86110.49	3049083.2	3064014.5	33.036449059963225	0.0	0.0	0.95	1467.9986491203308
164226.03314873762	161065.92405542496	357451.3125	-85.90886517096362	200.0	0.6	0.6	-85.16842972334898	0.0	-85.16842972334898	-85.16842972334898	200.0	1.0	1.0	9	273025.5956751709	89271.72302103355	361695.5625	-94.3992797896657	200.0	180000	180000	103858.54	53887.6	201090.31	-61743.758	103858.55	53887.125	201251.84	-62518.094	4.003294	3.5771956	46.734962	-13.94657	-104370.766	3353020.5	3369830.5	35.83130894241333	0.0	0.0	0.99	1655.8820631504059
355337.28	17755.611	367993.0	307069.16	200.0	1.0	1.0	363165.22	0.0	363165.22	363165.22	200.0	1.0	1.0	10	298700.12	68903.07	366943.3	35496.56	200.0	200000	200000	118735.17	54658.598	207156.16	-28228.092	118735.1	54657.85	207098.2	-28055.018	3.9957578	3.5068018	50.874664	-14.23805	-119238.18	3148338.5	3182191.8	33.756177109241484	0.0	0.0	1.0	1844.69753074646
