test/stochastic/0/push-v1/return/avg	test/stochastic/0/push-v1/return/std	test/stochastic/0/push-v1/return/max	test/stochastic/0/push-v1/return/min	test/stochastic/0/push-v1/ep_length	test/stochastic/0/push-v1/success	test/stochastic/average_success	test/deterministic/0/push-v1/return/avg	test/deterministic/0/push-v1/return/std	test/deterministic/0/push-v1/return/max	test/deterministic/0/push-v1/return/min	test/deterministic/0/push-v1/ep_length	test/deterministic/0/push-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
1092.690422353076	1856.5187271208774	5550.139841771874	-59.04668477805663	200.0	0.0	0.0	8123.181801662281	0.0	8123.181801662281	8123.181801662281	200.0	0.0	0.0	1	352.20235266274835	2309.136231798245	22056.26392863874	-102.49019004123616	200.0	20000	20000	39.425095	147.13391	2774.745	-90.123344	39.421818	147.1396	2656.2908	-81.054115	3.3653038	8.036385	471.35	-12.78627	-40.476135	82.3476	80.993904	0.14520977873590432	0.0	0.0	0.01	201.11770343780518
229.52478171414958	369.4391615931241	1067.1863802908913	-41.54851784358454	200.0	0.0	0.0	-117.70143687845672	0.0	-117.70143687845672	-117.70143687845672	200.0	0.0	0.0	2	2122.6465812415568	6039.141118993157	38932.197659458485	-104.29574810671339	200.0	40000	40000	563.2858	1186.0885	14229.973	-522.8507	563.3139	1186.1008	14132.939	-506.87427	4.107246	5.6141877	139.0551	-12.642353	-571.3138	3162.1575	3122.6565	0.5657864533305168	0.0	0.0	0.16	421.99960136413574
21026.828918182924	42392.40242875738	143942.23424207757	-31.67852591694973	200.0	0.4	0.4	1733.388654364358	0.0	1733.388654364358	1733.388654364358	200.0	0.0	0.0	3	7919.671060627702	23671.07955586488	169107.34400976985	-129.86055268054253	200.0	60000	60000	1902.0514	2969.5088	32448.867	-2009.907	1902.1353	2969.5115	31525.88	-2059.4531	4.04162	4.8676147	87.461876	-15.949008	-1918.0887	16587.12	16441.223	1.5499341825425625	0.0	0.0	0.21	637.6199703216553
18505.872822388195	22985.221681354513	66179.48772302816	-91.07229290543475	200.0	0.2	0.2	180.60235680432723	0.0	180.60235680432723	180.60235680432723	200.0	0.0	0.0	4	29395.455729749083	51952.24604398881	209728.7072151338	-62.37247907771064	200.0	80000	80000	5872.209	10966.71	111783.29	-6903.893	5872.248	10966.51	111265.74	-6809.7646	4.0424123	4.392429	66.19011	-13.959932	-5939.857	188419.58	190172.42	4.494310753977299	0.0	0.0	0.49	851.9102339744568
16591.91246938336	22574.82095911618	72935.72021319014	-62.88988754287725	200.0	0.5	0.5	9680.04487427599	0.0	9680.04487427599	9680.04487427599	200.0	1.0	1.0	5	34932.94146384029	60385.807992312766	238156.46270946172	-160.71960712902055	200.0	100000	100000	17602.014	23472.664	137324.98	-12466.518	17601.984	23472.17	137116.27	-12846.063	4.014679	4.0631223	59.269848	-13.692996	-17758.582	562969.06	571676.56	10.616042920470237	0.0	0.0	0.53	1067.7621393203735
60936.54646973471	84612.82142469229	239302.30266254477	-119.67728258670216	200.0	0.3	0.3	5111.3299039734775	0.0	5111.3299039734775	5111.3299039734775	200.0	1.0	1.0	6	48738.79208187488	69821.32797359716	294609.934633979	-104.43940694511369	200.0	120000	120000	25398.178	29016.697	138064.83	-16218.586	25398.123	29016.541	138002.72	-15986.384	4.007676	4.0193677	41.71595	-12.625866	-25564.035	822720.25	829049.94	13.854676837682725	0.0	0.0	0.53	1286.836036682129
46534.8297665863	63196.42265489235	186152.47231768377	-16.580411016160102	200.0	0.6	0.6	13214.333365852328	0.0	13214.333365852328	13214.333365852328	200.0	0.0	0.0	7	54059.43548794548	62075.11159117726	253643.51941612328	-94.27481575126598	200.0	140000	140000	30015.123	31773.031	141566.23	-25261.148	30015.475	31772.773	140398.42	-25195.943	4.0021415	3.8723364	73.74632	-17.325518	-30149.463	1129021.5	1130775.1	16.42358701696396	0.0	0.0	0.62	1500.2183067798615
60605.75434018121	54218.43418745769	127813.71553560016	-67.67667419158762	200.0	0.6	0.6	-39.04622219246743	0.0	-39.04622219246743	-39.04622219246743	200.0	0.0	0.0	8	67817.23104155165	70895.81779373245	293706.4080438368	-106.91345365039666	200.0	160000	160000	32305.092	33720.023	145628.17	-29517.242	32305.158	33719.69	145950.14	-30480.354	4.004156	3.654738	68.75951	-13.533304	-32424.102	1567489.6	1582840.9	17.99853039035797	0.0	0.0	0.78	1711.6153337955475
45669.640350735965	58356.23148500678	160763.31689983624	-78.40130672145466	200.0	0.7	0.7	62214.12283624518	0.0	62214.12283624518	62214.12283624518	200.0	0.0	0.0	9	84298.13238182919	82879.75844734276	324240.36139498535	-105.43825799883712	200.0	180000	180000	36338.344	35907.707	147385.06	-35484.25	36338.79	35907.715	147201.12	-34758.105	4.003541	3.5573363	64.63159	-13.692485	-36469.645	1866233.9	1854707.2	20.630496730232238	0.0	0.0	0.7	1922.7663209438324
112324.1576057775	104314.99464238404	321911.0110163171	-18.41422407073499	200.0	0.6	0.6	-16.484743457840914	0.0	-16.484743457840914	-16.484743457840914	200.0	0.0	0.0	10	88039.4202629794	79248.52435841125	296251.6537469193	-108.79506398648472	200.0	200000	200000	40340.473	37928.59	152276.61	-40306.42	40340.543	37928.49	151138.73	-38092.164	4.001563	3.4974134	53.6604	-15.0766	-40443.734	1994874.6	2012025.2	21.029453365421293	0.0	0.0	0.7	2137.3425164222717
