test/stochastic/0/faucet-close-v1/return/avg	test/stochastic/0/faucet-close-v1/return/std	test/stochastic/0/faucet-close-v1/return/max	test/stochastic/0/faucet-close-v1/return/min	test/stochastic/0/faucet-close-v1/ep_length	test/stochastic/0/faucet-close-v1/success	test/stochastic/average_success	test/deterministic/0/faucet-close-v1/return/avg	test/deterministic/0/faucet-close-v1/return/std	test/deterministic/0/faucet-close-v1/return/max	test/deterministic/0/faucet-close-v1/return/min	test/deterministic/0/faucet-close-v1/ep_length	test/deterministic/0/faucet-close-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
81718.1391264912	31856.876700311677	138370.37030245096	30933.68383943068	200.0	1.0	1.0	103395.72969481556	0.0	103395.72969481556	103395.72969481556	200.0	1.0	1.0	12	82227.1344042798	52904.44207637747	190148.6747463742	-96.26711393778831	200.0	240000	240000	40107.055	29096.287	170273.03	-18287.406	40106.92	29096.268	170951.28	-18836.752	4.003281	3.0869231	68.31601	-14.55576	-40296.875	2047815.6	2059400.6	15.244734126472473	0.0	0.0	0.87	2185.638895511627
77605.27521448451	57516.601293319276	183946.664997012	16356.221565015281	200.0	1.0	1.0	66759.6857978334	0.0	66759.6857978334	66759.6857978334	200.0	1.0	1.0	13	94545.6171125193	51391.695542458496	186082.75509660353	8044.966628218403	200.0	260000	260000	45285.574	31968.26	168294.83	-19195.059	45285.2	31968.178	167662.95	-19464.992	4.001141	3.082523	66.17812	-14.889825	-45455.832	2094797.6	2117538.5	15.884850512695312	0.0	0.0	0.96	2366.320292234421
139437.86133033017	37789.916003609425	211387.4445561562	75409.44895863021	200.0	1.0	1.0	118607.01998167305	0.0	118607.01998167305	118607.01998167305	200.0	1.0	1.0	14	87608.45487557117	50834.64115250895	175853.75083042713	2495.8530998663705	200.0	280000	280000	49604.836	34505.246	171522.81	-16267.844	49604.48	34505.188	172967.72	-16681.05	4.0007095	3.104067	40.906246	-14.900426	-49755.773	2257626.5	2269549.2	16.727957534122467	0.0	0.0	0.93	2546.835765361786
55036.7938985036	41055.81011740981	147725.69732276746	1251.2626560426029	200.0	0.7	0.7	16956.309289906338	0.0	16956.309289906338	16956.309289906338	200.0	0.0	0.0	15	92379.19819657884	53924.28682248937	194966.72857694892	-26.9438345896041	200.0	300000	300000	52728.875	35965.2	167793.39	-16206.342	52728.785	35965.05	167767.44	-17211.389	4.0003633	3.1256042	41.678947	-14.46749	-52847.22	2314896.0	2321349.2	17.21230738611221	0.0	0.0	0.94	2726.7574224472046
156443.7695744874	36288.72643272364	193659.02240207806	69656.18234431434	200.0	0.9	0.9	185371.0893581245	0.0	185371.0893581245	185371.0893581245	200.0	1.0	1.0	16	101702.28299936643	55233.87831803037	204226.08011755918	1712.8025728341127	200.0	320000	320000	54354.258	36164.695	163110.95	-18857.72	54354.105	36165.35	162424.67	-18989.104	4.001827	3.1459196	52.401653	-12.769838	-54424.5	2351043.5	2342000.0	17.13509039173126	0.0	0.0	0.93	2906.2175719738007
111568.58654356615	60164.98249473422	184363.26702403807	22125.57139846851	200.0	1.0	1.0	88214.60264858637	0.0	88214.60264858637	88214.60264858637	200.0	1.0	1.0	17	99814.72685041206	49153.00793742942	200575.53340270664	11600.92314978567	200.0	340000	340000	54177.902	35074.26	154083.95	-20165.607	54177.945	35074.484	155838.94	-21745.053	3.998107	3.2171497	51.220963	-13.510788	-54222.95	2558825.5	2549711.0	16.57750723810196	0.0	0.0	0.96	3085.481701374054
118373.76659344826	35100.68657922212	155609.34512426532	60068.750913147	200.0	1.0	1.0	75112.16103642057	0.0	75112.16103642057	75112.16103642057	200.0	1.0	1.0	18	112108.33778102156	48447.47493796679	205120.23222592776	7201.428121006494	200.0	360000	360000	53497.188	34383.875	150315.97	-25262.402	53497.13	34384.03	150892.44	-25647.371	4.0002265	3.210774	51.733414	-13.166419	-53518.023	2679829.0	2672513.0	16.585010350131988	0.0	0.0	0.94	3265.1583001613617
106372.55270388622	68429.75090573792	182833.13733396103	16655.67149277473	200.0	1.0	1.0	139350.7549245611	0.0	139350.7549245611	139350.7549245611	200.0	1.0	1.0	19	113199.95496290523	49361.10038280042	200018.5075555229	10212.169802449665	200.0	380000	380000	53779.8	35072.758	150227.12	-21626.92	53779.727	35072.074	150740.06	-21909.22	4.000701	3.2540145	72.90204	-13.742624	-53790.324	2709618.2	2728500.8	17.25720760512352	0.0	0.0	0.96	3445.421374797821
141561.183454365	9413.035784761214	155682.3418228677	126485.46173399483	200.0	1.0	1.0	150492.91941760055	0.0	150492.91941760055	150492.91941760055	200.0	1.0	1.0	20	108802.30702090944	56094.584923762275	223059.58917936197	4394.994909593614	200.0	400000	400000	54836.94	35521.65	148258.84	-23065.324	54836.89	35521.598	148148.53	-24191.523	3.9970527	3.191203	68.89764	-15.895481	-54836.75	2832649.0	2832469.2	17.558723208236696	0.0	0.0	0.94	3624.804671764374
130343.16955466064	42087.549408614446	168801.22273776316	47970.26861132297	200.0	1.0	1.0	140094.34787291137	0.0	140094.34787291137	140094.34787291137	200.0	1.0	1.0	21	111214.04073516234	44246.94977025258	196612.6779841045	7458.2082940195805	200.0	420000	420000	56180.01	35547.94	149350.34	-22963.922	56180.07	35548.01	149058.34	-23784.695	4.0056915	3.1604018	77.548935	-13.746445	-56166.094	2869854.5	2862191.8	16.861790321445465	0.0	0.0	0.95	3804.127634048462
