test/stochastic/0/window-close-v1/return/avg	test/stochastic/0/window-close-v1/return/std	test/stochastic/0/window-close-v1/return/max	test/stochastic/0/window-close-v1/return/min	test/stochastic/0/window-close-v1/ep_length	test/stochastic/0/window-close-v1/success	test/stochastic/average_success	test/deterministic/0/window-close-v1/return/avg	test/deterministic/0/window-close-v1/return/std	test/deterministic/0/window-close-v1/return/max	test/deterministic/0/window-close-v1/return/min	test/deterministic/0/window-close-v1/ep_length	test/deterministic/0/window-close-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-25.664886182935874	2.117632657244513	-23.851335351746723	-30.210290706692984	200.0	0.0	0.0	-26.22151763945436	0.0	-26.22151763945436	-26.22151763945436	200.0	0.0	0.0	1	37.762878896013724	834.693353035781	8303.795610079189	-111.69735179214138	200.0	20000	20000	8.184093	47.193264	4286.8525	-45.975937	8.187436	47.243744	4264.298	-47.33629	3.3599844	7.9031014	159.67496	-13.993733	-8.786199	53.95858	50.84984	0.14074036841332227	0.0	0.0	0.0	180.41557359695435
103525.7832197794	8804.405727599482	120239.4252389599	86387.71178665583	200.0	1.0	1.0	107665.80142579506	0.0	107665.80142579506	107665.80142579506	200.0	1.0	1.0	2	6978.413681616448	27918.11278707139	137830.8390561564	-84.66367044892701	200.0	40000	40000	810.6457	1922.6158	32601.064	-630.32684	810.6644	1922.4989	32825.688	-822.91394	4.229143	5.2909455	131.59312	-13.780144	-829.6676	7973.357	8228.606	1.0008391959577798	0.0	0.0	0.21	380.83792448043823
129.64158364186014	271.0359254136809	682.4883145841887	-22.812754036641593	200.0	0.0	0.0	-18.454938939186444	0.0	-18.454938939186444	-18.454938939186444	200.0	0.0	0.0	3	1629.8641462179003	7395.6322996079025	47540.646561917536	-66.80048339311003	200.0	60000	60000	5097.9307	10820.86	154207.2	-1794.8256	5097.764	10820.654	157347.08	-2152.7578	4.073348	4.9574594	110.38915	-14.57656	-5164.6763	171473.33	177015.94	3.7702679651021955	0.0	0.0	0.05	573.6080112457275
62932.197109653425	60914.1536472684	165121.80184355716	-87.7379274456541	200.0	0.6	0.6	158628.64582500627	0.0	158628.64582500627	158628.64582500627	200.0	1.0	1.0	4	18781.67821249227	45123.849560401606	208980.80693232192	-61.55624664632036	200.0	80000	80000	15847.105	25785.768	214993.06	-9043.396	15847.436	25785.246	215184.2	-9040.587	4.0750103	4.591127	81.01828	-13.495137	-16083.331	1437118.6	1448771.2	15.00498599088192	0.0	0.0	0.17	768.0086929798126
30708.525990161237	50192.6107993254	135962.27324364329	791.3455771998011	200.0	0.3	0.3	-31.237767854343755	0.0	-31.237767854343755	-31.237767854343755	200.0	0.0	0.0	5	74416.48219992073	71901.04216027289	216664.49249474923	-109.4914470966242	200.0	100000	100000	34645.992	37452.67	233174.12	-10425.21	34645.82	37452.54	232317.66	-10382.642	3.988083	3.5241168	50.005478	-15.688984	-34923.184	1500970.9	1506673.0	19.928944743537905	0.0	0.0	0.54	963.02712059021
87475.97622201228	64463.788266152726	188540.061194898	2877.358974039817	200.0	0.9	0.9	195058.92222422946	0.0	195058.92222422946	195058.92222422946	200.0	1.0	1.0	6	74659.97585528117	72288.33883092247	214846.2028733704	-31.845938370293798	200.0	120000	120000	48997.957	51744.17	235718.28	-8245.302	48997.816	51744.367	232763.95	-8476.325	4.003588	3.4603817	52.69752	-12.505081	-49208.69	1377999.0	1382698.0	17.947461176824568	0.0	0.0	0.55	1155.3563923835754
123681.74319988396	51224.51493528787	205681.55060381873	35298.48321451207	200.0	0.9	0.9	17901.287863623034	0.0	17901.287863623034	17901.287863623034	200.0	0.0	0.0	7	93765.337360666	68684.43180870236	218500.6590828119	224.10047791981114	200.0	140000	140000	59277.344	57164.812	228012.23	-8455.164	59277.566	57164.566	227977.77	-8975.246	4.0020523	3.305391	53.02543	-14.599183	-59486.74	2050693.5	2059627.5	19.162584533309936	0.0	0.0	0.7	1345.951195716858
64197.72891106441	63286.94293632428	152500.22139740427	368.9243247223342	200.0	0.6	0.6	494.27348918673215	0.0	494.27348918673215	494.27348918673215	200.0	1.0	1.0	8	108312.4181231779	58712.33889203903	210655.78225027598	-16.153489953501857	200.0	160000	160000	66993.07	62130.59	235346.25	-9276.339	66993.16	62130.312	235307.97	-9516.176	4.008466	3.298759	71.368225	-14.262087	-67179.19	3181989.0	3202607.0	21.325399155044554	0.0	0.0	0.83	1536.351285457611
134823.41935711482	46542.67779381144	172880.98127355103	1838.4725609037434	200.0	0.9	0.9	124996.48050170396	0.0	124996.48050170396	124996.48050170396	200.0	1.0	1.0	9	117748.71989681038	62675.48112979222	209203.3996822543	-30.591725523155382	200.0	180000	180000	76074.5	67515.516	236564.55	-10073.555	76074.82	67514.99	236719.22	-10417.642	4.004571	3.2416084	50.470684	-13.232177	-76268.41	3565716.8	3580561.5	22.621645608997344	0.0	0.0	0.82	1727.5564551353455
176053.18712077706	14906.981714639955	203447.24982174518	157144.32661681133	200.0	1.0	1.0	154836.741469784	0.0	154836.741469784	154836.741469784	200.0	1.0	1.0	10	100168.45585052157	68529.47518166096	206103.61667247096	8.287334457012456	200.0	200000	200000	83151.86	69237.2	237877.75	-11826.237	83152.09	69236.72	239009.53	-12161.586	3.992726	3.2233965	56.54274	-12.959215	-83349.72	3769933.5	3789932.5	22.774714912605287	0.0	0.0	0.8	1918.0673196315765
