test/stochastic/0/hammer-v1/return/avg	test/stochastic/0/hammer-v1/return/std	test/stochastic/0/hammer-v1/return/max	test/stochastic/0/hammer-v1/return/min	test/stochastic/0/hammer-v1/ep_length	test/stochastic/0/hammer-v1/success	test/stochastic/average_success	test/deterministic/0/hammer-v1/return/avg	test/deterministic/0/hammer-v1/return/std	test/deterministic/0/hammer-v1/return/max	test/deterministic/0/hammer-v1/return/min	test/deterministic/0/hammer-v1/ep_length	test/deterministic/0/hammer-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
70.6681257188606	67.7064717466639	231.5074163610194	-7.10365629196167	200.0	0.0	0.0	-14.712332794456506	0.0	-14.712332794456506	-14.712332794456506	200.0	0.0	0.0	1	-25.878288371896296	14.4487413215329	42.68879699707031	-53.588806715837606	200.0	20000	20000	11.256817	5.306502	21.03389	-7.5045395	11.256789	5.3065357	21.110321	-7.4500556	1.8840592	4.479639	46.636467	-11.75037	-11.554417	0.01864453	0.018745288	0.10750565135159137	0.0	0.0	0.0	173.5596797466278
-84.2503447297838	1.7578918001125763	-81.09319329977949	-87.08678960361024	200.0	0.0	0.0	-87.73840501722715	0.0	-87.73840501722715	-87.73840501722715	200.0	0.0	0.0	2	2.7267036476411897	382.9199967297105	3799.6455078125	-119.10960149986965	200.0	40000	40000	-1.2524865	16.339684	1529.2301	-51.44432	-1.2505553	16.35572	1551.6445	-53.434685	5.579006	7.992776	193.64944	-14.646885	0.77036166	3.841653	3.6213255	0.022910356385388877	0.0	0.0	0.04	363.55952048301697
-106.9115197091975	6.619175156342304	-96.91782246933553	-118.3546077313049	200.0	0.0	0.0	-111.96682978370185	0.0	-111.96682978370185	-111.96682978370185	200.0	0.0	0.0	3	-5.894402791829254	456.0548638089158	4324.3564453125	-111.70867797735707	200.0	60000	60000	-18.348587	83.162445	3108.3037	-128.6631	-18.341118	83.16247	3576.187	-136.92133	4.1186213	6.343797	151.05716	-14.854626	16.73164	65.03561	66.48396	0.13420481033809484	0.0	0.0	0.0	545.2236850261688
-20.304072727955276	5.296601353802996	-11.383316993713379	-28.037083605063497	200.0	0.0	0.0	-16.338015395655116	0.0	-16.338015395655116	-16.338015395655116	200.0	0.0	0.0	4	190.1730364237361	1059.7846930914473	6276.41015625	-103.22954857821973	200.0	80000	80000	6.863383	200.77625	4798.3853	-221.5748	6.873708	200.76617	4785.9204	-224.22638	4.065662	6.105922	147.19586	-15.409319	-9.336913	178.38084	176.48213	0.16929087934046982	0.0	0.0	0.0	726.7591054439545
-58.78530472214627	33.968809490800396	-20.60252080414421	-102.02177437841598	200.0	0.0	0.0	-91.04244416068889	0.0	-91.04244416068889	-91.04244416068889	200.0	1.0	1.0	5	-33.294024574959025	17.508950786280842	17.971982955932617	-86.70329235526835	200.0	100000	100000	156.14624	440.30905	9775.454	-627.02985	156.11938	440.53412	9982.445	-775.321	4.0844803	5.6843057	131.25429	-16.95638	-158.47006	1329.6268	1246.3259	0.34042290170714257	0.0	0.0	0.02	909.5146036148071
-13.212670872153486	3.0502635477131346	-9.178773880004883	-17.48334312438965	200.0	0.0	0.0	-12.548282345680489	0.0	-12.548282345680489	-12.548282345680489	200.0	0.0	0.0	6	1955.9265265054794	4631.540009338061	20830.27734375	-110.76501901921615	200.0	120000	120000	301.7737	808.0812	9310.39	-900.5183	301.74863	808.1688	9307.534	-909.15216	4.1352787	5.1218605	189.22324	-14.317707	-309.83167	2414.5215	2350.872	0.49077900979444383	0.0	0.0	0.02	1094.4141006469727
14254.083204949178	11430.505608948893	44196.0625	19.58156121053383	200.0	0.1	0.1	9132.083	0.0	9132.083	9132.083	200.0	0.0	0.0	7	20889.363347251834	28372.61042145024	172305.578125	-28.54983546740763	200.0	140000	140000	1970.7836	2731.6313	29606.854	-2493.383	1970.776	2731.629	29772.695	-2512.216	4.047743	3.9914556	74.96678	-14.722856	-1999.2452	10471.35	10461.91	1.396748701325059	0.0	0.0	0.08	1280.6011943817139
57096.7	31928.625	113289.74	13406.815	200.0	0.3	0.3	45282.984	0.0	45282.984	45282.984	200.0	0.0	0.0	8	38112.94063553141	36331.05914597693	146915.59375	-23.651758478911265	200.0	160000	160000	7032.6816	9843.498	93799.89	-8415.802	7032.561	9843.863	92685.58	-8374.612	4.045866	4.2615438	66.53737	-14.363946	-7115.227	159790.55	158128.69	4.478009648418427	0.0	0.0	0.28	1468.4496200084686
-12.245695005149367	5.105720183347779	-3.472896099090576	-17.441656441399417	200.0	0.0	0.0	-9.486616	0.0	-9.486616	-9.486616	200.0	0.0	0.0	9	55308.05517689425	40830.06839359961	153302.453125	-18.9307504959933	200.0	180000	180000	16945.742	17343.41	127112.04	-16013.119	16945.658	17342.611	126337.72	-16471.049	4.015012	3.895847	63.499554	-14.133778	-17096.883	483560.9	502459.7	10.405350726795197	0.0	0.0	0.42	1657.1661179065704
99663.47	31361.473	136847.1	29222.51	200.0	0.9	0.9	115404.54	0.0	115404.54	115404.54	200.0	1.0	1.0	10	88819.83144267161	44867.639733465825	167191.1875	-52.480403286193	200.0	200000	200000	26967.19	22470.139	132191.52	-23488.354	26966.723	22470.367	131019.016	-22425.514	4.005384	3.6074524	51.02256	-13.367418	-27144.275	692272.75	701170.56	13.795458008384704	0.0	0.0	0.8	1846.2939109802246
