test/stochastic/0/shelf-place-v1/return/avg	test/stochastic/0/shelf-place-v1/return/std	test/stochastic/0/shelf-place-v1/return/max	test/stochastic/0/shelf-place-v1/return/min	test/stochastic/0/shelf-place-v1/ep_length	test/stochastic/0/shelf-place-v1/success	test/stochastic/average_success	test/deterministic/0/shelf-place-v1/return/avg	test/deterministic/0/shelf-place-v1/return/std	test/deterministic/0/shelf-place-v1/return/max	test/deterministic/0/shelf-place-v1/return/min	test/deterministic/0/shelf-place-v1/ep_length	test/deterministic/0/shelf-place-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-20.84271715395385	1.2340990656513453	-18.675249539649855	-22.296272405503306	200.0	0.0	0.0	-20.806493843251964	0.0	-20.806493843251964	-20.806493843251964	200.0	0.0	0.0	1	-32.75887365451799	9.293851260587672	-17.386110619886242	-65.36325483471153	200.0	20000	20000	9.473991	6.2688055	20.296917	-11.909963	9.47414	6.2685876	20.333494	-11.906571	1.6747986	4.8833103	107.66561	-14.08263	-9.749504	0.017879574	0.017427187	0.10564814056305669	0.0	0.0	0.0	196.46836924552917
-68.4227332729222	22.763476884032883	-27.019561546336192	-93.57303928407397	200.0	0.0	0.0	-87.22750079477017	0.0	-87.22750079477017	-87.22750079477017	200.0	0.0	0.0	2	-22.38961611461275	6.250315524050135	-17.31806720282454	-62.66226567002634	200.0	40000	40000	-3.8085883	2.746206	5.553234	-25.805067	-3.8085296	2.7460983	5.584464	-26.18127	4.046937	4.4742002	88.34877	-15.048736	3.800783	0.015074221	0.015660426	0.0020828552943014072	0.0	0.0	0.0	412.48864483833313
-28.876584561993052	12.33517759962319	-21.446641607082093	-64.62134872878953	200.0	0.0	0.0	-31.81674770185973	0.0	-31.81674770185973	-31.81674770185973	200.0	0.0	0.0	3	-36.89927067815238	38.828454909518264	211.8385772705078	-166.58890229246333	200.0	60000	60000	-8.185791	2.8738492	87.44303	-54.205723	-8.185745	2.8751054	92.459015	-53.81748	4.1858225	5.8987846	184.953	-15.070069	8.197339	0.08832093	0.08460061	0.00306545014459989	0.0	0.0	0.0	617.413211107254
-33.93468476671735	20.747930358985318	-21.107585304943733	-92.02080788416275	200.0	0.0	0.0	-20.028468980380154	0.0	-20.028468980380154	-20.028468980380154	200.0	0.0	0.0	4	-51.48965210903435	82.11260352822094	720.6063842773438	-134.45662133058343	200.0	80000	80000	-11.587803	5.540426	222.40013	-61.061375	-11.588259	5.538112	249.59648	-63.27251	4.085802	5.581985	121.08937	-13.276371	11.533781	0.49408486	0.5073178	0.00991536307123024	0.0	0.0	0.0	824.1237232685089
-119.79690656117188	26.09297451947671	-89.57159053745579	-157.86375890701746	200.0	0.0	0.0	-136.5003225189978	0.0	-136.5003225189978	-136.5003225189978	200.0	0.0	0.0	5	-60.63808055467076	36.855490113396236	193.01564025878906	-148.7189589305658	200.0	100000	100000	-16.668827	8.000697	545.4119	-75.99104	-16.668724	7.987819	501.48798	-79.53931	4.1103096	5.3376403	90.36855	-16.953678	16.5506	0.9218334	1.0480323	0.014767387360706926	0.0	0.0	0.0	1029.3923153877258
-91.6308847162049	15.282362974427034	-64.92100402298036	-118.3163471800236	200.0	0.0	0.0	-124.35733174693803	0.0	-124.35733174693803	-124.35733174693803	200.0	0.0	0.0	6	-79.99270481065354	29.706739165413595	-31.889652142191924	-171.93309127713454	200.0	120000	120000	-21.022266	11.633096	934.8669	-77.722046	-21.022179	11.614042	1036.0583	-76.51222	4.07582	5.231782	77.48168	-14.904846	20.76141	3.3907945	3.6769495	0.024592701004073025	0.0	0.0	0.0	1234.5887928009033
-77.56493442543515	47.590800254419	-20.750351457321212	-173.32288934916343	200.0	0.0	0.0	-116.02265706558526	0.0	-116.02265706558526	-116.02265706558526	200.0	0.0	0.0	7	-75.7440540210123	40.2027743521693	108.7548982966989	-186.4993817383606	200.0	140000	140000	-21.900642	14.450023	1195.9213	-74.754135	-21.899796	14.474848	1220.6403	-73.526566	4.0716143	5.2521377	90.303276	-13.287115	21.617565	6.1984262	5.8755937	0.02611832873215899	0.0	0.0	0.0	1438.4727082252502
-57.47751142738086	16.313325821642195	-34.154826877447384	-82.01274614476814	200.0	0.0	0.0	-46.02869795293491	0.0	-46.02869795293491	-46.02869795293491	200.0	0.0	0.0	8	-4.270444781377243	694.3956045474775	6651.1650390625	-172.93860753359186	200.0	160000	160000	-22.799166	93.422646	5163.1035	-92.51514	-22.8013	93.404236	5259.967	-86.75399	4.169748	5.467134	109.144646	-15.4598675	22.260485	53.51624	55.673595	0.04100398980826139	0.0	0.0	0.0	1642.3278708457947
-59.332966056941345	31.562134383102055	-2.000864028930664	-101.74712048975657	200.0	0.0	0.0	-88.85338	0.0	-88.85338	-88.85338	200.0	0.0	0.0	9	-13.171119572860652	579.0370968631229	5639.477342845308	-178.57052581421405	200.0	180000	180000	29.657572	311.21564	6252.8184	-220.10017	29.66276	311.23062	6134.443	-208.48573	4.12361	6.2070026	136.61472	-14.780743	-32.241367	213.29726	210.8904	0.11249809389971197	0.0	0.0	0.0	1850.4875633716583
-44.717187014482704	21.97628835335872	-5.8613753021547925	-88.02649828335296	200.0	0.0	0.0	-85.4480214880839	0.0	-85.4480214880839	-85.4480214880839	200.0	0.0	0.0	10	1709.1239066944556	6911.76519705046	47649.96484375	-158.39306563856817	200.0	200000	200000	310.8874	906.77484	19723.936	-598.74493	310.85464	906.6761	20066.768	-820.87317	4.1228976	6.0270443	107.47424	-15.014442	-317.5751	1893.8522	1966.516	0.38574983731657264	0.0	0.0	0.0	2059.065113544464
