test/stochastic/0/handle-press-side-v1/return/avg	test/stochastic/0/handle-press-side-v1/return/std	test/stochastic/0/handle-press-side-v1/return/max	test/stochastic/0/handle-press-side-v1/return/min	test/stochastic/0/handle-press-side-v1/ep_length	test/stochastic/0/handle-press-side-v1/success	test/stochastic/average_success	test/deterministic/0/handle-press-side-v1/return/avg	test/deterministic/0/handle-press-side-v1/return/std	test/deterministic/0/handle-press-side-v1/return/max	test/deterministic/0/handle-press-side-v1/return/min	test/deterministic/0/handle-press-side-v1/ep_length	test/deterministic/0/handle-press-side-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
102045.61715253766	64819.56428969561	175573.15496973495	6126.894179185175	200.0	0.6	0.6	141474.79028926988	0.0	141474.79028926988	141474.79028926988	200.0	0.0	0.0	1	2234.870938393776	5000.2342926448555	25556.043448007324	-76.74959576003188	200.0	20000	20000	2394.9263	2620.2952	7981.2065	-202.7174	2394.9114	2620.3186	7978.6606	-212.16429	3.6211612	5.774622	75.74237	-11.485693	-2441.1238	4893.2754	4882.855	1.3523502484018866	0.0	0.0	0.0	166.18257355690002
13624.967440198456	23517.326841604332	70330.19723635908	-14.843952115833051	200.0	0.0	0.0	713.8905173045296	0.0	713.8905173045296	713.8905173045296	200.0	0.0	0.0	2	46387.27240080856	33572.583635383984	139861.63061100655	-60.41113499263411	200.0	40000	40000	8165.7954	6074.3716	37128.582	-3073.9326	8165.7793	6074.596	37225.266	-3238.642	4.070727	3.7174351	69.18321	-14.362999	-8202.747	48194.16	47038.465	4.135084797161817	0.0	0.0	0.0	354.36073112487793
128533.91340382848	13344.028443205976	144952.58434174772	105829.40478863099	200.0	0.6	0.6	165705.82491994803	0.0	165705.82491994803	165705.82491994803	200.0	1.0	1.0	3	84253.97828153547	63386.13163704111	222059.06852926215	-38.06964083620221	200.0	60000	60000	18669.215	14869.137	79038.016	-10990.797	18669.53	14868.655	79202.64	-10685.846	4.0397077	3.647034	105.53035	-13.482532	-18686.596	348199.0	349965.94	8.247338062548637	0.0	0.0	0.3	536.5036540031433
164540.19565953888	26331.84002340414	191497.49457977238	102676.83396117398	200.0	0.9	0.9	183750.6196948978	0.0	183750.6196948978	183750.6196948978	200.0	1.0	1.0	4	139089.85852726473	55759.08745039059	240701.80548089943	-21.08399371402112	200.0	80000	80000	39707.797	26408.912	116371.914	-14734.728	39708.098	26408.857	116937.766	-15115.893	4.005317	3.2249491	63.41889	-13.107366	-39801.348	854732.06	847692.4	16.055203852510452	0.0	0.0	0.72	720.3969616889954
183144.1145552633	52067.98846770827	287894.3970971543	60342.69329117685	200.0	0.9	0.9	179225.408291918	0.0	179225.408291918	179225.408291918	200.0	1.0	1.0	5	123789.80422788818	57396.97829065131	251644.1474256182	-25.497416646655036	200.0	100000	100000	57724.45	30980.756	151840.02	-17148.076	57724.44	30981.432	152415.58	-17093.041	3.994193	3.3040755	103.70528	-13.065186	-57763.53	1211616.6	1190848.8	17.870660142612458	0.0	0.0	0.6	903.5824308395386
151627.68288970776	44872.00688273662	186952.475581232	32397.742795069375	200.0	0.7	0.7	161874.76572298104	0.0	161874.76572298104	161874.76572298104	200.0	1.0	1.0	6	138791.6299333354	50903.53409210221	253773.16732365714	7908.537498780558	200.0	120000	120000	68066.59	33439.25	168394.7	-16877.176	68066.555	33440.535	167936.38	-18327.094	3.999359	3.251657	73.75606	-13.873362	-68105.15	1715721.1	1687642.1	18.863131832933426	0.0	0.0	0.73	1086.1280169487
118382.87614219946	53381.08810964484	192712.87168788703	25228.346705686494	200.0	0.4	0.4	143469.4045746778	0.0	143469.4045746778	143469.4045746778	200.0	0.0	0.0	7	148015.75761117737	53847.0913164298	293508.58672058216	22597.167703694293	200.0	140000	140000	76374.56	32758.15	184940.22	-17151.066	76374.55	32758.643	186971.27	-18683.445	3.996374	3.3222363	114.39561	-12.866196	-76458.14	1690518.1	1678493.9	18.934976387023926	0.0	0.0	0.83	1268.7629029750824
138759.38548169853	75006.17270549994	217185.68407344684	31571.301841126315	200.0	0.7	0.7	34531.30636529525	0.0	34531.30636529525	34531.30636529525	200.0	0.0	0.0	8	133699.43282639649	62493.09966636904	286101.1610226289	-33.92639411497423	200.0	160000	160000	81630.97	31660.777	194605.02	-23709.717	81631.13	31660.28	195063.03	-23337.797	4.0024734	3.4381087	135.38159	-13.167948	-81730.24	1670490.1	1689435.4	19.91495346803665	0.0	0.0	0.72	1449.7362868785858
147755.47927750612	36734.960109341926	224847.39306835612	106227.68755363135	200.0	0.3	0.3	210857.00898271584	0.0	210857.00898271584	210857.00898271584	200.0	1.0	1.0	9	137977.85054911245	74788.57568935739	296540.07403305365	20399.508997743556	200.0	180000	180000	86536.77	32950.156	205982.02	-30189.912	86536.83	32950.094	208092.23	-30860.736	4.002362	3.0831559	85.40346	-12.505083	-86651.25	1942504.5	1931291.5	22.673583878421784	0.0	0.0	0.69	1629.963292837143
201913.35663516092	61136.56278557439	262460.9105236998	113781.32812659229	200.0	0.6	0.6	209082.84593668135	0.0	209082.84593668135	209082.84593668135	200.0	1.0	1.0	10	153865.1768186138	69881.21290510023	272241.4912784679	8602.80885605783	200.0	200000	200000	88551.734	33991.633	236047.19	-30195.791	88551.74	33992.43	235402.3	-31890.951	4.003277	3.1303918	79.165375	-13.258602	-88608.91	2386914.5	2366843.5	19.193801422691344	0.0	0.0	0.76	1808.7693753242493
