test/stochastic/0/push-v1/return/avg	test/stochastic/0/push-v1/return/std	test/stochastic/0/push-v1/return/max	test/stochastic/0/push-v1/return/min	test/stochastic/0/push-v1/ep_length	test/stochastic/0/push-v1/success	test/stochastic/average_success	test/deterministic/0/push-v1/return/avg	test/deterministic/0/push-v1/return/std	test/deterministic/0/push-v1/return/max	test/deterministic/0/push-v1/return/min	test/deterministic/0/push-v1/ep_length	test/deterministic/0/push-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
899.4986980016753	2696.857485479201	8984.739007079545	-82.59347919312565	200.0	0.0	0.0	-31.46222275189552	0.0	-31.46222275189552	-31.46222275189552	200.0	0.0	0.0	1	27.526342758535698	587.6681493943863	5845.755418173472	-96.50357962801145	200.0	20000	20000	60.821327	86.81471	502.78912	-25.027729	60.820415	86.815155	497.87933	-25.139496	3.1482682	6.5882707	244.645	-13.498339	-62.030197	2.7599905	2.7640772	0.15773993073492065	0.0	0.0	0.0	195.91527318954468
1694.6378169485822	2350.919174199927	6863.90890492325	-25.22795101998825	200.0	0.1	0.1	9.384429907199255	0.0	9.384429907199255	9.384429907199255	200.0	0.0	0.0	2	903.4602953583171	2985.5961810385093	18710.947586281367	-97.08713941240516	200.0	40000	40000	857.7207	1315.6052	12994.378	-474.24893	857.7298	1315.5979	12890.181	-521.06573	4.3717504	5.0201364	130.92659	-15.241613	-876.844	2363.1133	2352.1868	0.9044348866946995	0.0	0.0	0.11	411.7917034626007
25232.78706718523	39031.44450808115	106355.26436762254	-27.605110188052002	200.0	0.4	0.4	368.3401317010154	0.0	368.3401317010154	368.3401317010154	200.0	0.0	0.0	3	6066.535032076362	14165.169663303728	76422.3832670953	-99.53862464991425	200.0	60000	60000	2816.2075	2401.2554	30131.25	-2808.225	2816.2107	2401.2837	30231.152	-2696.1143	4.018465	3.7525403	80.87485	-12.766787	-2838.6943	11615.268	11538.728	1.5569872967123985	0.0	0.0	0.2	626.1821804046631
46822.37780479936	77627.73928040065	230728.11517818147	-30.03464330013339	200.0	0.6	0.6	56574.11467763046	0.0	56574.11467763046	56574.11467763046	200.0	1.0	1.0	4	35450.49032182187	57473.33714543606	284296.0698176485	-222.41152464152822	200.0	80000	80000	7629.2944	10834.439	98139.73	-6479.2886	7629.303	10834.416	98759.78	-6550.687	4.0442533	3.8594384	76.45375	-14.583788	-7727.029	189581.6	189737.72	5.704543053901196	0.0	0.0	0.53	840.7315144538879
9551.753349454912	17088.478430213934	59956.16838750711	-38.75991244596946	200.0	0.0	0.0	79934.0799009364	0.0	79934.0799009364	79934.0799009364	200.0	0.0	0.0	5	61870.6971384422	76163.99712964348	275801.4333073418	-107.5013216584488	200.0	100000	100000	20054.29	23929.988	155076.25	-22439.814	20054.559	23929.178	154801.72	-23372.518	4.0146036	3.740781	110.36959	-13.222914	-20237.223	801679.56	817013.56	12.813912307453155	0.0	0.0	0.62	1057.7599647045135
26246.73761814536	35410.67421308796	117339.32630343433	-29.48445689520771	200.0	0.2	0.2	5391.886715465702	0.0	5391.886715465702	5391.886715465702	200.0	0.0	0.0	6	68430.96632600819	66210.73173458422	284515.186581052	-91.32612514308309	200.0	120000	120000	31015.604	31550.064	161748.45	-25895.795	31015.81	31549.256	161038.39	-25697.805	4.007363	3.4104261	53.396797	-13.703985	-31225.023	1376162.2	1378364.4	17.884359586429596	0.0	0.0	0.74	1269.41308426857
57693.862739719196	77103.15794688552	234969.21435213718	-51.692157274806355	200.0	0.4	0.4	200166.96640950136	0.0	200166.96640950136	200166.96640950136	200.0	1.0	1.0	7	80450.01880640138	82872.68370167172	308814.5631442949	-68.39870497772725	200.0	140000	140000	37330.895	33799.258	162475.11	-29315.83	37331.727	33798.65	162476.73	-29311.86	3.9995868	3.202208	54.73552	-12.012046	-37494.934	1545372.6	1523115.4	19.103527899456026	0.0	0.0	0.65	1481.8195259571075
34324.689699383554	41276.11800954231	141905.34517487645	435.524015184673	200.0	0.3	0.3	8728.322614265777	0.0	8728.322614265777	8728.322614265777	200.0	0.0	0.0	8	82732.84897897621	78070.0727749571	278172.7810918927	-89.02896608340659	200.0	160000	160000	39419.49	35919.59	165155.7	-29768.79	39419.805	35919.31	164315.19	-29673.469	4.003189	3.2073495	44.198772	-12.430722	-39547.312	1818424.1	1797602.5	20.228501358509064	0.0	0.0	0.7	1693.4975690841675
29825.064551177995	46571.475093594905	153955.35183438708	-40.88224078712361	200.0	0.2	0.2	21270.067561876796	0.0	21270.067561876796	21270.067561876796	200.0	1.0	1.0	9	105235.9249279284	78265.92577189706	310903.4928931778	-90.18060700959936	200.0	180000	180000	42353.3	37516.52	168538.25	-36582.496	42353.465	37516.117	168021.23	-36254.883	3.9999356	3.0327058	42.79367	-13.577189	-42465.715	2091615.2	2094392.5	21.463268994808196	0.0	0.0	0.79	1905.5336956977844
118341.47179139033	89734.63429848594	242218.04928594065	-23.794213093173322	200.0	0.8	0.8	76380.2337387175	0.0	76380.2337387175	76380.2337387175	200.0	1.0	1.0	10	92839.58419932931	79198.81900107024	281437.2507165344	-84.4267990790178	200.0	200000	200000	45156.855	39026.508	168316.33	-41910.832	45156.824	39025.996	167417.05	-41448.094	4.0015545	3.044376	53.902348	-13.355646	-45244.832	2306704.2	2315028.0	21.71292429227829	0.0	0.0	0.77	2118.9079196453094
74558.80521792575	91754.68385322117	284310.2562643937	-49.900036469767755	200.0	0.9	0.9	193253.68605369653	0.0	193253.68605369653	193253.68605369653	200.0	1.0	1.0	11	118604.40259014022	98510.19251511846	321187.4481602629	-107.41105708736023	200.0	220000	220000	46364.4	40346.645	165813.58	-43210.63	46363.926	40346.484	164555.08	-42307.395	4.0017357	3.004647	39.59551	-13.510554	-46429.812	2451064.0	2459784.5	22.274664914512634	0.0	0.0	0.8	2328.9191930294037
128244.68873393543	91328.68577456272	299106.1219193709	-111.20894563396985	200.0	0.8	0.8	11607.438751264257	0.0	11607.438751264257	11607.438751264257	200.0	0.0	0.0	12	104421.14194709061	88682.40351514299	283311.2526351047	-48.781339663807096	200.0	240000	240000	49576.62	41885.504	162202.77	-44768.895	49576.336	41885.76	162301.95	-45773.87	4.004581	3.0076108	37.321926	-13.552534	-49640.664	2740817.0	2735317.5	24.72755641088486	0.0	0.0	0.81	2537.3408086299896
74600.00186723366	100245.90311458833	315134.3052347472	2856.9379721802584	200.0	0.4	0.4	17717.846914735346	0.0	17717.846914735346	17717.846914735346	200.0	1.0	1.0	13	125431.3434989067	96892.5699648103	328331.023322646	-120.47164731344452	200.0	260000	260000	52173.906	43507.434	165242.11	-46534.895	52173.742	43508.27	164895.56	-45381.75	3.99758	3.0432112	41.331814	-13.3627	-52242.367	2981235.0	2955626.0	25.177903340053557	0.0	0.0	0.76	2747.1425874233246
141089.59825912514	95753.96405873333	294667.08804615564	10248.676518490793	200.0	0.7	0.7	250612.28000328914	0.0	250612.28000328914	250612.28000328914	200.0	1.0	1.0	14	132273.5157247507	98300.92326938132	322772.28509569605	-41.14616845114278	200.0	280000	280000	55413.51	45568.367	169102.64	-49543.598	55413.562	45568.01	167881.86	-49678.027	4.0008693	3.0575218	39.01701	-16.888378	-55449.242	3313067.5	3320664.8	26.148498595142364	0.0	0.0	0.8	2955.2914650440216
128398.3808062596	98351.62009729905	295410.74396568845	-39.939381495623635	200.0	0.7	0.7	-39.91470833911305	0.0	-39.91470833911305	-39.91470833911305	200.0	0.0	0.0	15	116922.20382015187	94244.24462809727	319015.06667254434	-60.186502583692516	200.0	300000	300000	55676.11	46784.734	171040.94	-54763.145	55675.83	46784.81	171162.16	-59547.973	4.0015984	3.0630684	49.091827	-12.932546	-55663.49	3658277.2	3654809.2	26.240167658424376	0.0	0.0	0.78	3162.048945426941
118579.62332274055	94310.88189811076	257932.91463066943	-44.242154722463695	200.0	0.6	0.6	-25.03094348387517	0.0	-25.03094348387517	-25.03094348387517	200.0	1.0	1.0	16	129963.5562672136	88622.03111104059	347566.22935702704	-50.12047484526259	200.0	320000	320000	56635.62	47360.65	174012.73	-57556.07	56635.54	47360.934	173553.67	-60918.938	3.9995282	3.0179534	39.311707	-13.382582	-56638.56	3788236.0	3780810.0	26.942214650535583	0.0	0.0	0.84	3368.6054015159607
113651.05253006941	113936.21672310718	331268.1228416303	-51.01961514247714	200.0	0.7	0.7	108433.9420826485	0.0	108433.9420826485	108433.9420826485	200.0	1.0	1.0	17	130104.40342047057	92525.74267083594	303256.4444849557	-94.59305756011355	200.0	340000	340000	58147.77	48960.777	177038.66	-70437.086	58147.59	48961.184	178101.48	-63785.28	4.003358	3.0032969	45.72958	-13.195628	-58113.805	3960163.5	3947285.8	26.991499897003173	0.0	0.0	0.86	3575.5102224349976
148999.570170968	75740.02998718359	262479.81667054736	-44.09807422871694	200.0	0.9	0.9	219860.7509982947	0.0	219860.7509982947	219860.7509982947	200.0	1.0	1.0	18	118677.23517918194	94045.24608350577	309595.1967704623	-56.05085351596549	200.0	360000	360000	58478.598	49714.664	182790.12	-62249.24	58478.215	49715.246	183329.86	-72614.35	4.0013723	2.9937506	39.498104	-12.428982	-58428.312	4243697.5	4235567.0	28.34503222236633	0.0	0.0	0.83	3781.2236988544464
156455.071929409	56473.06782680817	249065.5613060615	73775.95110831872	200.0	0.9	0.9	187009.51936771534	0.0	187009.51936771534	187009.51936771534	200.0	1.0	1.0	19	137444.42819132618	99377.85747276814	332718.68026407517	-51.26387044135336	200.0	380000	380000	58636.35	50386.227	186198.36	-64106.496	58636.21	50386.266	186705.44	-66208.914	3.997009	2.920884	33.710686	-12.402512	-58564.652	4371458.0	4369455.5	27.608411727142332	0.0	0.0	0.9	3989.3490023612976
165919.88000236228	101215.98470409233	314540.62301429966	13645.49039819977	200.0	1.0	1.0	200092.30727450305	0.0	200092.30727450305	200092.30727450305	200.0	1.0	1.0	20	131407.1318034154	87467.00314060148	343839.7376516157	-39.202927158744544	200.0	400000	400000	59879.566	50930.2	189962.53	-55449.75	59879.547	50929.664	191313.14	-54556.977	4.0019484	2.933459	48.737785	-15.067168	-59815.98	4492210.5	4518308.0	27.70584002084732	0.0	0.0	0.82	4193.201790809631
226371.46653142743	90521.90560289797	329585.97644079605	-39.524929721971255	200.0	0.9	0.9	120277.98196300476	0.0	120277.98196300476	120277.98196300476	200.0	1.0	1.0	21	131806.74165054646	98409.49229161697	334422.2666727562	-85.48351605079631	200.0	420000	420000	59787.477	51099.234	189270.48	-59014.785	59786.86	51099.99	190401.98	-60784.562	3.9998827	2.933032	42.702927	-12.731536	-59701.145	4696916.5	4688801.0	27.36718506450653	0.0	0.0	0.8	4398.248703956604
161091.9047931306	116448.40309453708	309277.2462809458	-20.488963197762963	200.0	0.8	0.8	-27.83458871558508	0.0	-27.83458871558508	-27.83458871558508	200.0	0.0	0.0	22	140792.83383168635	87638.10145001342	318328.78883735504	-125.06250830395578	200.0	440000	440000	60450.406	51761.99	189660.81	-63252.55	60450.246	51761.645	189965.97	-63541.75	4.002771	2.9959004	48.39688	-12.763178	-60369.895	4948276.5	4974021.0	28.515854667663575	0.0	0.0	0.86	4603.7553651332855
116590.72768013412	105824.56316155146	315757.2733692406	1766.8325459409855	200.0	0.8	0.8	184987.49632184042	0.0	184987.49632184042	184987.49632184042	200.0	1.0	1.0	23	140306.92371523305	91237.7837785818	339963.7509238969	-90.46717426545503	200.0	460000	460000	62394.777	52163.668	187807.92	-66825.46	62394.508	52163.785	187506.92	-64804.793	4.0003653	3.006492	41.69956	-13.487895	-62312.13	4935426.0	4947783.5	28.725221175575257	0.0	0.0	0.87	4810.645861387253
75690.05867881166	81989.41772469097	222740.21971729732	-29.238410171027873	200.0	0.6	0.6	235103.7164215837	0.0	235103.7164215837	235103.7164215837	200.0	1.0	1.0	24	128771.38527953942	97492.6801883611	321668.957092519	-79.74451558305306	200.0	480000	480000	63319.336	52256.4	186492.05	-68992.23	63318.848	52256.688	185950.14	-67067.68	4.0013905	2.9739964	50.41712	-12.639971	-63228.37	4863222.5	4886970.5	27.93307495803833	0.0	0.0	0.87	5021.266428470612
189670.90039448778	112909.37172158774	326744.32398663886	1201.1927824612478	200.0	0.8	0.8	225934.70911509616	0.0	225934.70911509616	225934.70911509616	200.0	1.0	1.0	25	161782.1230551201	93651.87473475662	318859.5108153443	-56.150185120544215	200.0	500000	500000	63794.293	52850.285	186233.62	-70955.73	63794.152	52850.953	185413.47	-69048.53	3.9986718	3.0088303	55.588924	-12.1019	-63696.82	5007857.5	4991031.0	28.09669263019562	0.0	0.0	0.91	5227.986201763153
