test/stochastic/0/push-v1/return/avg	test/stochastic/0/push-v1/return/std	test/stochastic/0/push-v1/return/max	test/stochastic/0/push-v1/return/min	test/stochastic/0/push-v1/ep_length	test/stochastic/0/push-v1/success	test/stochastic/average_success	test/deterministic/0/push-v1/return/avg	test/deterministic/0/push-v1/return/std	test/deterministic/0/push-v1/return/max	test/deterministic/0/push-v1/return/min	test/deterministic/0/push-v1/ep_length	test/deterministic/0/push-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-43.99096211513755	34.596912267651454	7.037034911658659	-102.47092679474429	200.0	0.0	0.0	-44.222625544283524	0.0	-44.222625544283524	-44.222625544283524	200.0	0.0	0.0	1	174.67200840067864	1401.1494585017358	13083.92410380843	-103.73065205641976	200.0	20000	20000	32.21912	81.4842	2574.8386	-67.30991	32.21721	81.4978	2590.7485	-64.4696	4.122422	10.475725	288.55554	-12.102596	-33.788986	31.640762	31.836613	0.1407351531142087	0.0	0.0	0.01	167.8317105770111
1930.414861839953	5698.330616793976	19020.702182709218	-60.31207038186011	200.0	0.0	0.0	-25.798394787998948	0.0	-25.798394787998948	-25.798394787998948	200.0	0.0	0.0	2	2284.869365822432	9366.415446276405	78173.95404100322	-89.54657252794205	200.0	40000	40000	915.9843	1333.2944	16883.143	-1494.2095	915.9904	1333.2328	17278.816	-1476.6974	4.114854	4.7172284	145.29214	-14.25128	-929.4712	2870.6633	2900.6504	0.9118532181471586	0.0	0.0	0.05	355.9120192527771
68939.01992377969	127879.2200509222	347874.30197077675	4.286576792148695	200.0	0.2	0.2	9971.684726732688	0.0	9971.684726732688	9971.684726732688	200.0	0.0	0.0	3	20471.958517531802	51967.82914102949	261992.8850622733	-104.64806737077599	200.0	60000	60000	4424.1157	9291.7	90948.91	-6002.5015	4424.107	9291.467	90817.055	-5955.233	4.1151443	4.979304	109.36941	-13.07888	-4489.0615	101009.4	102554.73	3.2319370106756686	0.0	0.0	0.21	537.1024262905121
51835.31418661967	93172.40640074128	300024.4948796203	-40.66940406834491	200.0	0.2	0.2	75161.786881626	0.0	75161.786881626	75161.786881626	200.0	1.0	1.0	4	42133.66091935369	69436.93965282022	278288.3423891763	-74.72412071252336	200.0	80000	80000	16760.361	24072.701	136967.2	-14917.266	16760.82	24072.625	135664.33	-14984.96	4.021279	4.2136664	66.668365	-14.3260565	-16938.676	591484.3	581664.1	10.17103890028	0.0	0.0	0.48	718.2033677101135
69681.44613954212	97207.42270860552	242295.57838649512	-31.39771917745001	200.0	0.7	0.7	18595.23637781888	0.0	18595.23637781888	18595.23637781888	200.0	1.0	1.0	5	53845.52957104701	76291.83669475686	299518.4845030222	-63.20716391510674	200.0	100000	100000	31164.477	36186.12	159938.75	-27589.07	31165.154	36185.742	158925.48	-26763.646	4.0028586	3.852611	50.12469	-12.414991	-31395.523	1295869.2	1294313.0	16.339193851089476	0.0	0.0	0.51	900.2138397693634
103102.3840381313	113557.70412440304	311678.1450567973	-117.32192954924047	200.0	0.6	0.6	187310.13818876556	0.0	187310.13818876556	187310.13818876556	200.0	1.0	1.0	6	47270.51799824357	71413.4297771024	317837.2794005035	-82.42686072099447	200.0	120000	120000	39389.37	41482.96	164708.2	-35840.062	39390.324	41482.492	164054.22	-36466.402	4.0016046	3.6393769	46.037125	-13.066322	-39600.027	1696582.8	1678556.4	18.90071983127594	0.0	0.0	0.5	1081.4176592826843
50922.28390355996	47303.71105886549	150287.24517855843	-41.02248269800709	200.0	0.8	0.8	190517.49335367797	0.0	190517.49335367797	190517.49335367797	200.0	1.0	1.0	7	52413.43897813172	70210.08198588582	273743.80842648295	-74.71798164914154	200.0	140000	140000	40222.58	42182.895	164067.83	-36529.742	40223.105	42182.723	164513.2	-36469.652	4.0005174	3.572866	62.63556	-12.606689	-40357.164	1781410.6	1768337.9	17.956765802526473	0.0	0.0	0.55	1262.5249593257904
33513.183791344316	52898.50129335282	157490.16414565666	-55.692202946926855	200.0	0.4	0.4	40677.19437926361	0.0	40677.19437926361	40677.19437926361	200.0	1.0	1.0	8	75155.28271228945	82869.7310997625	296322.3911612059	-74.18597857820907	200.0	160000	160000	39665.47	42736.61	162844.55	-38720.93	39665.637	42736.418	163008.05	-38715.305	4.001253	3.637286	79.873375	-13.201311	-39767.08	1878159.6	1869461.9	17.679898119878768	0.0	0.0	0.68	1441.3876283168793
70400.50595763754	62140.75349894101	174792.48438777775	-38.214204888694766	200.0	0.7	0.7	155358.60889099704	0.0	155358.60889099704	155358.60889099704	200.0	1.0	1.0	9	60018.73175955806	78187.2286177064	296842.5847091625	-94.1656353757737	200.0	180000	180000	40105.438	43721.645	174097.17	-52096.047	40105.105	43721.82	174248.08	-52363.676	3.9998586	3.5710182	94.80062	-13.696377	-40188.348	2000244.5	2003266.1	17.715774976968767	0.0	0.0	0.62	1620.0616192817688
88090.60823286211	74136.31175351643	227889.50608046952	-36.93045684066177	200.0	0.6	0.6	5726.569612683578	0.0	5726.569612683578	5726.569612683578	200.0	1.0	1.0	10	71000.63298282359	80276.95391556922	319216.1401227706	-126.72089863567486	200.0	200000	200000	39316.12	42886.61	167995.28	-55908.316	39316.492	42885.74	166297.5	-56213.598	4.001734	3.5375333	110.02165	-13.0769615	-39376.168	2103651.5	2113566.0	17.883488545703887	0.0	0.0	0.67	1799.4931926727295
