test/stochastic/0/handle-press-side-v1/return/avg	test/stochastic/0/handle-press-side-v1/return/std	test/stochastic/0/handle-press-side-v1/return/max	test/stochastic/0/handle-press-side-v1/return/min	test/stochastic/0/handle-press-side-v1/ep_length	test/stochastic/0/handle-press-side-v1/success	test/stochastic/average_success	test/deterministic/0/handle-press-side-v1/return/avg	test/deterministic/0/handle-press-side-v1/return/std	test/deterministic/0/handle-press-side-v1/return/max	test/deterministic/0/handle-press-side-v1/return/min	test/deterministic/0/handle-press-side-v1/ep_length	test/deterministic/0/handle-press-side-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
96060.6152170625	57086.15591438055	222956.1963873979	33172.67858696035	200.0	0.4	0.4	17458.712162154603	0.0	17458.712162154603	17458.712162154603	200.0	0.0	0.0	19	185702.52980249136	64969.901285399814	300596.3723364871	31340.32899323553	200.0	380000	380000	121877.67	43097.34	213597.77	-43444.973	121877.9	43096.77	213882.53	-41721.254	3.9989786	3.0469892	76.80211	-13.644575	-121828.445	3852404.8	3864437.2	20.115389348316192	0.0	0.0	0.87	3448.025673866272
67806.75775499774	22048.70261344247	100628.65102845604	38289.98492601862	200.0	0.1	0.1	100587.27111912718	0.0	100587.27111912718	100587.27111912718	200.0	0.0	0.0	20	186624.00698074087	58605.673906219105	301688.8496963745	55169.83228114932	200.0	400000	400000	122607.34	43020.42	212143.98	-40816.34	122607.72	43018.918	213218.8	-37730.047	3.9963386	3.2048752	86.882645	-13.279526	-122543.92	3890376.0	3938214.8	20.155767754840852	0.0	0.0	0.95	3630.2556014060974
22447.597041705292	39671.6098067009	140197.15210457984	2417.812466085054	200.0	0.1	0.1	4671.079975386264	0.0	4671.079975386264	4671.079975386264	200.0	0.0	0.0	21	174552.32492281895	62334.413705386716	294278.0031142887	18019.881337761497	200.0	420000	420000	123698.945	42935.824	211767.11	-44685.945	123699.03	42935.434	212302.12	-43410.984	4.0055118	3.200501	82.37604	-15.326746	-123629.29	4120109.0	4118519.8	20.25828436126709	0.0	0.0	0.88	3810.5285470485687
203299.99698524998	32928.71535031917	292615.94625980605	176875.9467219618	200.0	1.0	1.0	212345.87177718827	0.0	212345.87177718827	212345.87177718827	200.0	1.0	1.0	22	185683.4686900572	56452.25627438281	294119.68651116267	17279.4780641536	200.0	440000	440000	124037.695	43069.797	214387.28	-45537.395	124037.71	43070.47	213410.62	-44748.715	4.0035934	3.2541738	91.274315	-13.564002	-123947.945	4008387.0	3985542.0	19.697330746173858	0.0	0.0	0.93	3993.508057117462
233024.1372966452	30626.93091395785	269743.8657106224	173793.9717273622	200.0	1.0	1.0	150014.47154403877	0.0	150014.47154403877	150014.47154403877	200.0	1.0	1.0	23	185841.20515573566	57989.15493403124	298004.3659470273	22943.43310864665	200.0	460000	460000	125055.805	43615.28	214373.73	-52071.36	125055.74	43615.176	216055.81	-48398.523	4.002573	3.2347093	83.24912	-12.823191	-124967.48	4279920.0	4291436.0	20.19127175016403	0.0	0.0	0.92	4175.764157772064
165513.1336546813	52298.38648308327	264147.0376313139	82879.89460999158	200.0	0.8	0.8	184429.2375128389	0.0	184429.2375128389	184429.2375128389	200.0	0.0	0.0	24	176997.59201242225	57398.0134803904	300483.95909580676	48594.546201265446	200.0	480000	480000	125730.664	43573.2	214526.45	-56485.94	125730.75	43572.773	216577.67	-51183.984	4.0021615	3.2794802	85.46064	-14.429065	-125632.586	4608788.0	4627402.0	20.69991377773285	0.0	0.0	0.96	4357.605436563492
206884.32897628326	58311.07209767404	279363.45715744904	126077.61045207943	200.0	1.0	1.0	170030.97230421242	0.0	170030.97230421242	170030.97230421242	200.0	0.0	0.0	25	168223.99757752955	60260.192751758186	295190.6334343459	30191.247916088985	200.0	500000	500000	125510.98	43169.016	213003.72	-83104.88	125510.88	43169.633	213071.95	-78539.67	4.0001197	3.3402047	87.96806	-14.322371	-125417.125	4646989.0	4620413.5	20.870007022857667	0.0	0.0	0.88	4539.533447504044
218841.5850684874	66786.52530444697	283786.30081957014	36205.93162164923	200.0	0.9	0.9	214843.24195690948	0.0	214843.24195690948	214843.24195690948	200.0	1.0	1.0	26	167527.809439491	69232.69247955424	296301.741625539	6755.745095308645	200.0	520000	520000	124973.016	43242.93	212201.0	-81357.914	124972.69	43243.367	212398.0	-83859.38	3.998009	3.3357356	81.06926	-14.467321	-124868.48	4741933.5	4767164.0	21.184722106456757	0.0	0.0	0.83	4720.980768918991
672.2291760757707	941.3231481397396	3039.6503040793873	-20.260618682062777	200.0	0.4	0.4	2655.488902215641	0.0	2655.488902215641	2655.488902215641	200.0	1.0	1.0	27	166664.6845085491	60886.09937375448	296301.10242656857	47560.70420848547	200.0	540000	540000	125434.32	43016.47	212099.27	-98757.195	125434.19	43016.965	211138.9	-94207.15	4.011593	3.380225	77.14912	-12.372896	-125351.7	4700076.5	4701485.5	21.039737961769102	0.0	0.0	0.92	4902.8587012290955
199287.81282799892	28155.850813036835	253995.88780561797	162142.43087404256	200.0	1.0	1.0	241677.51189292184	0.0	241677.51189292184	241677.51189292184	200.0	1.0	1.0	28	175196.40290134502	62516.47879337301	286668.17795671365	23065.51072503612	200.0	560000	560000	125396.99	42859.15	212442.05	-113402.97	125396.97	42859.242	211340.77	-112269.67	3.9949515	3.3291569	83.35981	-12.4554825	-125316.31	4795432.0	4806334.0	20.997730946445465	0.0	0.0	0.89	5086.2640335559845
253506.56804154557	46596.31510205247	297264.3390526371	133105.81778390286	200.0	1.0	1.0	165551.66701647337	0.0	165551.66701647337	165551.66701647337	200.0	1.0	1.0	29	175274.1401738063	62463.07716494201	302651.6146737134	45043.49435052714	200.0	580000	580000	126761.91	42589.625	211660.22	-95166.375	126761.766	42589.66	212656.67	-90552.36	3.9994712	3.3353672	100.79944	-13.58418	-126704.72	4411446.5	4439890.5	20.9246783905983	0.0	0.0	0.92	5267.840025424957
175691.16532980505	32985.80219520207	255973.7769219757	149263.58151549537	200.0	1.0	1.0	237922.80413787658	0.0	237922.80413787658	237922.80413787658	200.0	1.0	1.0	30	185444.03572932832	62825.009153707826	305482.2454686754	28231.341757565406	200.0	600000	600000	127959.02	42573.227	212760.9	-68785.6	127958.66	42574.406	212453.27	-74515.77	4.00039	3.3493018	86.47651	-12.822087	-127902.49	4512454.0	4498868.5	20.427915554618835	0.0	0.0	0.91	5449.328440666199
186231.6273986944	89323.84423772505	280722.6947869792	27530.591679590198	200.0	0.8	0.8	179770.52808580647	0.0	179770.52808580647	179770.52808580647	200.0	0.0	0.0	31	186802.64440936604	59863.47249145431	296886.9880208088	29077.18552945776	200.0	620000	620000	129625.41	42389.57	214379.33	-67956.836	129625.19	42390.004	214302.75	-72905.33	4.0085783	3.3842525	85.10098	-13.165542	-129574.03	4385308.5	4397441.5	20.768874232578277	0.0	0.0	0.91	5630.903351068497
195894.4658009549	54135.60922124106	271761.4243594799	106565.22477812719	200.0	1.0	1.0	100800.26319005813	0.0	100800.26319005813	100800.26319005813	200.0	1.0	1.0	32	190689.9299728066	54782.784458297814	292520.05748375156	42371.2061945239	200.0	640000	640000	130863.6	42057.223	215971.34	-75998.43	130863.44	42058.152	215859.95	-71664.25	3.9933836	3.350232	136.94838	-14.294071	-130815.1	4350317.5	4325155.5	20.60401907863617	0.0	0.0	0.93	5813.224031925201
