test/stochastic/0/peg-unplug-side-v1/return/avg	test/stochastic/0/peg-unplug-side-v1/return/std	test/stochastic/0/peg-unplug-side-v1/return/max	test/stochastic/0/peg-unplug-side-v1/return/min	test/stochastic/0/peg-unplug-side-v1/ep_length	test/stochastic/0/peg-unplug-side-v1/success	test/stochastic/average_success	test/deterministic/0/peg-unplug-side-v1/return/avg	test/deterministic/0/peg-unplug-side-v1/return/std	test/deterministic/0/peg-unplug-side-v1/return/max	test/deterministic/0/peg-unplug-side-v1/return/min	test/deterministic/0/peg-unplug-side-v1/ep_length	test/deterministic/0/peg-unplug-side-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-24.734230320719863	3.367479433865913	-20.140453972258516	-30.352109861818544	200.0	0.0	0.0	-16.560507181442862	0.0	-16.560507181442862	-16.560507181442862	200.0	0.0	0.0	1	-47.3874111068896	21.0039300330372	-20.904366511350418	-108.36206968959938	200.0	20000	20000	7.623318	7.3055463	22.203712	-27.952711	7.623116	7.3056874	22.081081	-27.697996	1.9994959	4.4277844	59.74494	-14.267742	-7.937297	0.025047349	0.025574883	0.10781659869880318	0.0	0.0	0.0	165.54300999641418
-30.43574547544619	0.6434383963152066	-29.142535613631317	-31.251787807297774	200.0	0.0	0.0	-30.957806379637596	0.0	-30.957806379637596	-30.957806379637596	200.0	0.0	0.0	2	-25.85694688502854	4.234990088678994	-18.686227973990082	-42.224215200176495	200.0	40000	40000	-5.4114776	5.4662	3.2674937	-71.15622	-5.411416	5.466345	3.4815607	-68.8403	3.9914417	4.868454	77.42405	-13.811731	5.3793025	0.035001684	0.034431584	0.003236304815695621	0.0	0.0	0.0	350.91920351982117
-20.490645139862487	1.7213750943110815	-18.309735976410124	-23.797699739534576	200.0	0.0	0.0	-17.66768750024344	0.0	-17.66768750024344	-17.66768750024344	200.0	0.0	0.0	3	-25.531554076614693	8.300897230401038	-17.349812277397433	-86.82939907280755	200.0	60000	60000	-9.376767	5.0268703	-5.0032005	-87.67351	-9.376731	5.0268717	-4.8831816	-80.33757	3.9857183	4.9444184	138.95227	-14.412322	9.3678465	0.04144972	0.041698046	0.003140035289817024	0.0	0.0	0.0	529.009176492691
-18.15512730165304	0.6433719403613971	-16.545674273355953	-19.23929401420422	200.0	0.0	0.0	-16.235240607819776	0.0	-16.235240607819776	-16.235240607819776	200.0	0.0	0.0	4	-24.17849399203788	5.828655098688346	-17.834132902530026	-45.93292305260913	200.0	80000	80000	-10.508807	4.495718	-7.782401	-103.82759	-10.508753	4.495311	-7.6782217	-105.59754	4.0004	4.8246675	127.29888	-15.011084	10.506367	0.037784904	0.040324267	0.0027199412952410057	0.0	0.0	0.0	707.2214949131012
-18.127729401665817	0.1828911978588642	-17.853581940398723	-18.45143751733698	200.0	0.0	0.0	-18.271881927976473	0.0	-18.271881927976473	-18.271881927976473	200.0	0.0	0.0	5	-24.3663659303622	7.669510477414476	-17.276866122608922	-71.65334179195558	200.0	100000	100000	-10.926651	4.2208304	-8.359461	-127.05644	-10.926645	4.2206483	-7.9184866	-121.44528	3.9750016	5.234424	143.00473	-13.148993	10.924578	0.036547914	0.0374007	0.002464422080619261	0.0	0.0	0.0	884.9497938156128
-27.88719896841551	1.713055356219035	-25.81610103984155	-30.985891108535473	200.0	0.0	0.0	-27.791599981225755	0.0	-27.791599981225755	-27.791599981225755	200.0	0.0	0.0	6	-25.001857167008378	10.81311335073576	-17.541324225102	-83.70335532055647	200.0	120000	120000	-11.04037	3.88565	-8.506007	-143.63507	-11.040371	3.8852215	-8.2897415	-161.61517	4.054815	5.288146	203.53607	-12.602895	11.039436	0.038239058	0.041238688	0.0022484346813813317	0.0	0.0	0.0	1062.650369644165
21475.107312691187	286.97443013554476	21691.086084839884	20747.693569190178	200.0	0.0	0.0	26193.082609493613	0.0	26193.082609493613	26193.082609493613	200.0	0.0	0.0	7	12616.607894822617	12785.741717835463	59683.1484375	-188.3207289472378	200.0	140000	140000	476.03586	1062.4441	10360.151	-779.3127	476.0275	1062.482	10377.909	-763.79315	6.46645	8.18591	344.46063	-12.773239	-491.193	1870.6877	1849.5876	0.5009707142033847	0.0	0.0	0.09	1246.6864264011383
-105.33127056355504	3.3949948151720433	-98.87405234057834	-108.60515157926989	200.0	0.0	0.0	-111.55162765947075	0.0	-111.55162765947075	-111.55162765947075	200.0	0.0	0.0	8	23156.78536823091	21169.180916181584	115875.5703125	-112.44755163112177	200.0	160000	160000	3715.2332	3331.6165	47225.004	-2435.0063	3715.24	3331.6575	47049.117	-2315.8093	4.030808	3.5173397	83.087265	-14.120515	-3767.9011	16654.066	16656.521	1.947426024019718	0.0	0.0	0.12	1431.964002609253
17322.118825854162	25928.920442038823	90369.2890625	-26.23810604379952	200.0	0.1	0.1	13590.361873481666	0.0	13590.361873481666	13590.361873481666	200.0	0.0	0.0	9	40212.759729756115	58780.55276485415	309112.09375	-125.06025249592093	200.0	180000	180000	8972.592	12327.443	105960.836	-8495.313	8972.575	12327.527	106101.516	-8428.767	4.10861	5.0327296	163.10205	-13.51682	-9066.051	265349.44	266537.7	5.494988512790203	0.0	0.0	0.51	1616.1808633804321
97203.16443580406	139745.6874986474	347930.5	-68.50248250166435	200.0	0.3	0.3	322308.34	0.0	322308.34	322308.34	200.0	1.0	1.0	10	95821.53985936768	87088.62435570122	326255.4375	-52.15239861343858	200.0	200000	200000	24244.973	24149.164	145834.9	-10573.207	24244.934	24149.445	145700.34	-10412.55	4.0153303	4.150429	89.40063	-14.371021	-24517.16	1005877.56	1000361.2	13.635325662517548	0.0	0.0	0.68	1800.9204001426697
242064.45	119067.55	352945.75	6762.0264	200.0	0.9	0.9	346748.25	0.0	346748.25	346748.25	200.0	1.0	1.0	11	191704.2836047731	98851.79836916419	345377.46875	-80.15828284486929	200.0	220000	220000	47238.953	36431.277	178168.19	-27486.062	47238.824	36431.87	177074.25	-24449.934	4.0126815	3.7302885	79.66406	-14.093948	-47694.152	1658495.8	1636848.6	20.027072063589095	0.0	0.0	0.94	1986.749754190445
108051.68695745543	120413.27780361292	334218.78125	-81.87792717882982	200.0	0.5	0.5	108664.055	0.0	108664.055	108664.055	200.0	1.0	1.0	12	217378.12	97337.32	359466.22	3574.0237	200.0	240000	240000	70738.74	43268.7	189540.6	-36067.316	70738.6	43269.99	189158.98	-37018.523	4.0090756	3.449222	71.30184	-13.367434	-71296.28	2385592.2	2348406.2	24.900760167503357	0.0	0.0	0.98	2171.2068066596985
197801.1	126689.97	327735.0	19812.568	200.0	0.9	0.9	301506.9	0.0	301506.9	301506.9	200.0	1.0	1.0	13	249911.94	94024.21	365829.38	4071.1353	200.0	260000	260000	86627.484	46703.14	197587.02	-53366.45	86627.49	46704.832	197629.73	-51900.06	4.000902	3.4555876	59.649094	-13.691223	-87181.68	2892246.2	2824839.8	27.17367145843506	0.0	0.0	0.99	2355.7741560935974
248561.75	96273.04	359466.3	71002.305	200.0	1.0	1.0	282265.7	0.0	282265.7	282265.7	200.0	1.0	1.0	14	259613.42	85401.48	358753.72	8879.124	200.0	280000	280000	98268.4	49008.598	200222.12	-65121.266	98268.59	49009.676	200389.33	-63381.805	4.002052	3.3904142	49.432476	-13.068215	-98827.67	3255394.2	3200946.5	28.33533170681	0.0	0.0	0.98	2541.8325159549713
268675.47	105841.87	367278.4	13531.248	200.0	1.0	1.0	322560.78	0.0	322560.78	322560.78	200.0	1.0	1.0	15	284754.66	71588.94	366953.7	56478.117	200.0	300000	300000	107277.34	49775.99	203837.23	-49425.01	107277.39	49776.92	204182.88	-48744.832	3.999612	3.500352	53.130432	-13.29756	-107826.19	3146981.5	3106799.2	28.135579095077514	0.0	0.0	1.0	2728.7303206920624
277870.8	88962.2	370905.38	93924.125	200.0	1.0	1.0	345784.88	0.0	345784.88	345784.88	200.0	1.0	1.0	16	301383.0	66341.85	371858.9	15298.949	200.0	320000	320000	116395.52	51293.55	207588.86	-39966.547	116395.29	51294.395	208487.58	-39699.195	4.001386	3.4588597	55.410187	-13.920971	-116964.61	3131936.0	3114540.5	29.347487806606292	0.0	0.0	0.99	2914.103435754776
332263.94	39883.152	364371.5	222931.95	200.0	1.0	1.0	321779.06	0.0	321779.06	321779.06	200.0	1.0	1.0	17	287955.1	81163.414	371406.38	50371.816	200.0	340000	340000	123903.72	51378.234	209115.6	-31433.549	123903.59	51378.816	208444.77	-30166.74	4.00308	3.4033415	53.2058	-13.8914	-124471.31	3308516.5	3298811.0	29.26826489830017	0.0	0.0	1.0	3100.9097776412964
