test/stochastic/0/hammer-v1/return/avg	test/stochastic/0/hammer-v1/return/std	test/stochastic/0/hammer-v1/return/max	test/stochastic/0/hammer-v1/return/min	test/stochastic/0/hammer-v1/ep_length	test/stochastic/0/hammer-v1/success	test/stochastic/average_success	test/deterministic/0/hammer-v1/return/avg	test/deterministic/0/hammer-v1/return/std	test/deterministic/0/hammer-v1/return/max	test/deterministic/0/hammer-v1/return/min	test/deterministic/0/hammer-v1/ep_length	test/deterministic/0/hammer-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-12.054210325218293	3.3841524914589414	-8.12586498260498	-19.207054138183594	200.0	0.0	0.0	-9.681005	0.0	-9.681005	-9.681005	200.0	0.0	0.0	1	-25.224771667469184	32.49920686122418	259.285888671875	-61.314307864252505	200.0	20000	20000	11.537443	5.378281	93.87035	-10.749196	11.537527	5.378151	101.798874	-11.677214	1.9325156	4.844036	96.601875	-14.94388	-11.822048	0.039639164	0.03974884	0.10789312518664979	0.0	0.0	0.01	210.8472340106964
-97.27801556297355	1.799859676740211	-93.8705874728432	-99.67166120235179	200.0	0.0	0.0	-99.58061616196977	0.0	-99.58061616196977	-99.58061616196977	200.0	0.0	0.0	2	-40.25125252924245	25.887262688345466	86.78015899658203	-114.83022734770122	200.0	40000	40000	-3.081226	12.079168	467.6593	-69.99881	-3.0821564	12.081288	447.54276	-62.942238	4.2688904	6.162722	125.22567	-15.711111	3.0312593	0.85040635	0.8120916	0.011691513343225234	0.0	0.0	0.03	442.57353591918945
-32.212096362650094	3.826194578993645	-25.218969345092773	-36.944108183587886	200.0	0.0	0.0	-35.735968431514394	0.0	-35.735968431514394	-35.735968431514394	200.0	0.0	0.0	3	-21.03577960036034	221.38039249456708	2160.5698711777336	-117.09777200213446	200.0	60000	60000	15.4720545	124.12976	2149.514	-247.54909	15.477075	124.12921	2145.8152	-204.17981	4.3811	7.0885305	229.74763	-15.031056	-16.850245	37.190147	37.0333	0.05980211025821045	0.0	0.0	0.0	669.2363526821136
-14.949931361475809	32.63329388070465	81.76805407399083	-34.128354255182025	200.0	0.0	0.0	-29.227626945471027	0.0	-29.227626945471027	-29.227626945471027	200.0	0.0	0.0	4	86.48672953583075	932.2686619569957	9296.284863518033	-72.47030177535402	200.0	80000	80000	289.43906	339.4272	1923.6106	-404.34622	289.44012	339.42578	1895.2825	-384.59985	4.01821	4.744704	91.29701	-15.450136	-292.83304	52.6279	52.574837	0.1252608644772321	0.0	0.0	0.02	894.7584147453308
-28.54780017765812	8.466847563539917	-14.122669219970703	-37.9463528306428	200.0	0.0	0.0	-31.40211652448128	0.0	-31.40211652448128	-31.40211652448128	200.0	0.0	0.0	5	-25.30687600606044	30.55821432900772	220.7803955078125	-77.91176100110918	200.0	100000	100000	256.73715	266.04	6508.663	-522.90894	256.7335	266.01538	6578.9443	-510.49304	4.0535846	6.1212234	126.941444	-14.389544	-258.335	289.67426	296.2969	0.19678063585087657	0.0	0.0	0.03	1120.007028579712
-31.275683259880385	19.462435924945616	-19.702632651084425	-72.00431312188111	200.0	0.0	0.0	-21.509015998631767	0.0	-21.509015998631767	-21.509015998631767	200.0	0.0	0.0	6	15.435765326974748	297.2767344718568	2201.912712642545	-72.40113287222785	200.0	120000	120000	235.33736	495.77686	9640.011	-1382.2155	235.33565	495.86295	9598.052	-1386.8757	4.1106277	5.699235	152.43733	-15.732572	-238.02832	1067.6632	1020.6283	0.3224591495715082	0.0	0.0	0.01	1345.6651759147644
-18.281962566619836	4.026855328174327	-8.488313674926758	-21.741170672540406	200.0	0.0	0.0	-21.001697725411088	0.0	-21.001697725411088	-21.001697725411088	200.0	0.0	0.0	7	412.66978571906066	1796.772203521452	13013.42907805246	-78.24738875407039	200.0	140000	140000	313.1307	618.15	9428.914	-2283.3328	313.10925	618.23663	9524.185	-2295.7517	4.0576696	5.272862	112.68947	-12.688993	-316.51364	2222.625	2172.9246	0.43346998340040443	0.0	0.0	0.04	1571.9149730205536
0.09473009555018486	58.38723571002098	174.3697839327967	-22.639925774001476	200.0	0.0	0.0	-16.32354116986474	0.0	-16.32354116986474	-16.32354116986474	200.0	0.0	0.0	8	290.43196425428783	1650.7941434516324	10812.50390625	-117.14620058771085	200.0	160000	160000	304.01376	776.9075	10724.247	-4590.213	304.045	777.2516	10714.723	-4630.927	4.003887	5.486241	154.29712	-13.98414	-306.8131	4452.178	4155.76	0.5646208830401301	0.0	0.0	0.01	1799.2192142009735
8353.749	5737.5933	20693.385	2261.4387	200.0	0.0	0.0	260.02655	0.0	260.02655	260.02655	200.0	0.0	0.0	9	7312.80983689365	10320.329495395283	42817.109375	-116.06838975171988	200.0	180000	180000	586.72815	1491.3177	15661.422	-6072.1597	586.8328	1491.5044	15808.964	-6084.2114	4.0856223	5.1355186	147.96384	-15.401046	-600.5012	11133.779	10748.285	1.0939192633092403	0.0	0.0	0.01	2032.8947305679321
26309.697	6380.234	35554.42	10332.468	200.0	0.0	0.0	26700.322	0.0	26700.322	26700.322	200.0	0.0	0.0	10	25160.089146761828	24645.103546515882	126672.8515625	-69.09094830207398	200.0	200000	200000	3144.42	4450.631	37628.453	-8439.926	3144.3962	4450.749	37217.656	-8481.175	4.034972	4.0361414	134.43521	-15.493694	-3202.5415	48593.582	47758.914	2.998398782759905	0.0	0.0	0.13	2270.4297811985016
