test/stochastic/0/push-back-v1/return/avg	test/stochastic/0/push-back-v1/return/std	test/stochastic/0/push-back-v1/return/max	test/stochastic/0/push-back-v1/return/min	test/stochastic/0/push-back-v1/ep_length	test/stochastic/0/push-back-v1/success	test/stochastic/average_success	test/deterministic/0/push-back-v1/return/avg	test/deterministic/0/push-back-v1/return/std	test/deterministic/0/push-back-v1/return/max	test/deterministic/0/push-back-v1/return/min	test/deterministic/0/push-back-v1/ep_length	test/deterministic/0/push-back-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-32.43133871194573	1.6010988918538962	-30.1633661512428	-35.428796544047536	200.0	0.0	0.0	-31.709928534542456	0.0	-31.709928534542456	-31.709928534542456	200.0	0.0	0.0	1	-53.022187354611304	18.435613510675434	-30.816711525256252	-123.868386932973	200.0	20000	20000	6.9294024	7.202626	20.758944	-21.782795	6.9295664	7.202484	20.894068	-21.777452	2.0585997	4.4269767	57.037197	-15.961141	-7.247932	0.025459448	0.02544854	0.10897837111736207	0.0	0.0	0.0	183.14631485939026
-26.179769715149558	4.4530179746088585	-21.057235154305417	-34.49324731880665	200.0	0.0	0.0	-34.73435999431765	0.0	-34.73435999431765	-34.73435999431765	200.0	0.0	0.0	2	-28.360354159600618	3.4537817970656484	-21.147583800473956	-39.16745201550501	200.0	40000	40000	-6.905774	4.940534	2.150445	-41.26626	-6.9058084	4.9405513	2.1995711	-41.214275	3.9796672	4.739808	69.244	-15.552412	6.873594	0.034378376	0.034244005	0.0035438710467075	0.0	0.0	0.0	384.18978691101074
-22.957891697533242	1.3857031694644961	-21.405204156759968	-24.943496730070553	200.0	0.0	0.0	-22.336388339073636	0.0	-22.336388339073636	-22.336388339073636	200.0	0.0	0.0	3	-26.216546601151162	4.5979339714625205	-18.78447425970284	-46.010063189729316	200.0	60000	60000	-11.106444	4.4177403	-6.8036747	-49.489185	-11.10642	4.4176435	-6.7716284	-49.212204	3.996264	4.701987	85.56762	-15.319141	11.096577	0.03753316	0.038536176	0.0031102215590304693	0.0	0.0	0.0	581.9257225990295
-20.10108689352725	1.0763775649425424	-18.910179538197447	-22.922191894025072	200.0	0.0	0.0	-19.55725414213349	0.0	-19.55725414213349	-19.55725414213349	200.0	0.0	0.0	4	-24.286733451836863	3.35972401326388	-19.126514553682558	-35.68455654469415	200.0	80000	80000	-11.740355	3.9822114	-8.896606	-50.427063	-11.740312	3.9821546	-8.89662	-49.565792	3.997279	4.753004	90.47156	-13.3880205	11.736832	0.030811047	0.031751893	0.002518954756052699	0.0	0.0	0.0	783.4422481060028
-20.405238939564867	1.3999512761146398	-18.460488253734862	-22.053295212340977	200.0	0.0	0.0	-18.90199825630996	0.0	-18.90199825630996	-18.90199825630996	200.0	0.0	0.0	5	-24.24855935691645	3.8687098207121555	-19.039782286861396	-44.017803001226476	200.0	100000	100000	-11.540382	3.740325	-9.496185	-52.79631	-11.540314	3.7403183	-9.425279	-53.610992	3.995493	4.7815723	197.2996	-14.839214	11.541159	0.029843839	0.030934753	0.002382542652601842	0.0	0.0	0.0	982.8683919906616
-22.986141147047363	0.9361995396796151	-21.83765322870159	-24.307469150520586	200.0	0.0	0.0	-23.774762762801913	0.0	-23.774762762801913	-23.774762762801913	200.0	0.0	0.0	6	-23.002830775885492	2.8464600447995188	-18.212281388227346	-36.25901169015787	200.0	120000	120000	-11.213943	3.4907472	-9.240198	-53.247437	-11.213903	3.4908445	-9.273199	-53.1208	3.9862933	4.6735415	134.28603	-13.671179	11.213748	0.025028797	0.025011707	0.002273656965064583	0.0	0.0	0.0	1178.7426567077637
-21.36622819054921	1.25844095802541	-19.445334136096978	-23.912187226851795	200.0	0.0	0.0	-19.53918645140021	0.0	-19.53918645140021	-19.53918645140021	200.0	0.0	0.0	7	-23.079969519096803	4.170173096625834	-18.453310534711388	-54.61798191282351	200.0	140000	140000	-10.811691	3.1530068	-9.093022	-53.907303	-10.811644	3.1530848	-9.104393	-53.587128	3.9980578	4.593058	122.02856	-13.082798	10.81212	0.020787539	0.021295484	0.002091390378039796	0.0	0.0	0.0	1379.9144253730774
-21.32115304484589	1.463346565217056	-19.580633666764605	-24.09515613470948	200.0	0.0	0.0	-21.75498080797408	0.0	-21.75498080797408	-21.75498080797408	200.0	0.0	0.0	8	-22.91174374219304	5.932914027908518	-17.59010862140367	-61.80183845504918	200.0	160000	160000	-10.583056	2.999923	-8.966143	-57.653767	-10.582981	2.9997742	-3.7160082	-59.01228	4.0044384	4.6097	154.6372	-13.309728	10.583003	0.019880245	0.021321038	0.0020950550877430942	0.0	0.0	0.0	1576.0328710079193
-22.175921847989176	1.0165991083267627	-20.441962677578516	-24.347491134396403	200.0	0.0	0.0	-20.950985681229618	0.0	-20.950985681229618	-20.950985681229618	200.0	0.0	0.0	9	-22.64394372932052	4.274660203474179	-18.554987621827486	-49.24509025288953	200.0	180000	180000	-10.425072	2.849646	-8.85271	-58.025337	-10.425047	2.8498955	-8.831747	-59.748405	3.9889095	4.5416913	105.28426	-13.704783	10.425656	0.018241117	0.017816233	0.001967955717811128	0.0	0.0	0.0	1769.8438410758972
-18.979101300770033	0.49464715661824793	-17.986186497788793	-19.476045370026895	200.0	0.0	0.0	-18.682938474309243	0.0	-18.682938474309243	-18.682938474309243	200.0	0.0	0.0	10	-22.323197784161753	4.518192179888059	-18.29159574130199	-53.64502876020936	200.0	200000	200000	-10.274153	2.720303	-8.729264	-62.703064	-10.274127	2.7207367	-8.76091	-59.273624	3.9953878	4.6000934	113.82563	-16.370445	10.276636	0.018909765	0.017656187	0.0019143000484036748	0.0	0.0	0.0	1968.3716158866882
-21.378504995050545	1.7602085425068807	-18.54391935101141	-24.51346022434407	200.0	0.0	0.0	-19.31014985868758	0.0	-19.31014985868758	-19.31014985868758	200.0	0.0	0.0	11	-21.155504952414006	2.483786354507166	-18.37222906752697	-30.59293766221878	200.0	220000	220000	-10.074144	2.569858	-8.524843	-59.861786	-10.0741005	2.5698342	-8.585312	-61.375183	4.0046997	4.58238	120.38097	-14.132158	10.074164	0.015586246	0.01597231	0.0018433674841187894	0.0	0.0	0.0	2166.7821702957153
-19.605666002152567	0.24942534670332978	-19.092316242094387	-19.974756743885298	200.0	0.0	0.0	-19.011497236899256	0.0	-19.011497236899256	-19.011497236899256	200.0	0.0	0.0	12	-21.561597200718523	4.181702595365292	-18.517912271358796	-55.0626897373003	200.0	240000	240000	-9.860502	2.4872148	-8.400408	-61.75102	-9.860466	2.4873734	-8.422742	-60.732037	3.9964745	4.6475377	119.67864	-13.769506	9.859418	0.015675556	0.015431047	0.001865071841754252	0.0	0.0	0.0	2364.6764571666718
