test/stochastic/0/push-v1/return/avg	test/stochastic/0/push-v1/return/std	test/stochastic/0/push-v1/return/max	test/stochastic/0/push-v1/return/min	test/stochastic/0/push-v1/ep_length	test/stochastic/0/push-v1/success	test/stochastic/average_success	test/deterministic/0/push-v1/return/avg	test/deterministic/0/push-v1/return/std	test/deterministic/0/push-v1/return/max	test/deterministic/0/push-v1/return/min	test/deterministic/0/push-v1/ep_length	test/deterministic/0/push-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-63.75864738530095	16.445614961633986	-40.729307320683816	-91.78547784991457	200.0	0.0	0.0	-52.08951810901207	0.0	-52.08951810901207	-52.08951810901207	200.0	0.0	0.0	1	-58.69975283555887	42.24040144629498	243.75917746021602	-118.71580600243867	200.0	20000	20000	109.60029	125.09324	439.81274	-26.84696	109.60033	125.09312	437.10507	-24.259438	2.8377578	6.0655103	168.7522	-15.411031	-111.76518	7.85681	7.883733	0.18583357081591692	0.0	0.0	0.0	204.7504951953888
-28.40950285626378	8.844576362003288	-15.287339478896433	-42.03850956722808	200.0	0.0	0.0	57.839113932932094	0.0	57.839113932932094	57.839113932932094	200.0	0.0	0.0	2	395.1384583697775	2581.821222841938	23983.50088206302	-111.75942519637108	200.0	40000	40000	183.12292	171.83798	5108.7964	-146.30318	183.12357	171.82256	4735.811	-154.75226	4.4121637	5.780744	165.1157	-13.573291	-184.67928	127.2764	127.8999	0.072709977323981	0.0	0.0	0.03	426.41731333732605
71.38102561604165	244.49105174191197	714.4629547978185	-100.05104054420438	200.0	0.1	0.1	132.44132754074457	0.0	132.44132754074457	132.44132754074457	200.0	0.0	0.0	3	2830.3668421620255	13678.34059687156	87855.20696261092	-97.23806619814756	200.0	60000	60000	742.90936	1335.2819	33414.773	-998.09705	742.853	1335.3109	34410.938	-1001.6417	4.11123	5.555812	146.86333	-14.101849	-750.75977	6162.853	6092.945	0.7114001027211547	0.0	0.0	0.07	644.4932377338409
4875.520831476033	14591.829870593312	48649.90847637224	-46.62852065958046	200.0	0.2	0.2	-22.662480235063224	0.0	-22.662480235063224	-22.662480235063224	200.0	0.0	0.0	4	12879.351417552862	37292.25665608022	210909.78058040777	-90.11815141878044	200.0	80000	80000	4710.0293	8261.584	73483.086	-5717.568	4709.8726	8261.71	73917.74	-5615.9424	4.0948763	4.9767385	67.64688	-13.464925	-4800.244	78713.68	78516.77	3.544235847759247	0.0	0.0	0.35	862.540901184082
5582.617216320865	11130.558652868378	35080.737161732664	-75.36540669264429	200.0	0.1	0.1	69.53676633545184	0.0	69.53676633545184	69.53676633545184	200.0	0.0	0.0	5	24001.060550693073	46765.52135114925	209935.7566377243	-104.88377325519215	200.0	100000	100000	11657.127	15417.655	120705.81	-9172.13	11657.202	15417.396	119678.27	-8786.958	4.01059	4.2575364	59.95334	-14.60705	-11757.483	263653.2	266052.8	5.367806418323517	0.0	0.0	0.44	1079.6265285015106
65813.52679312142	62577.72320539281	167657.9118452474	-77.17239721939	200.0	0.5	0.5	-75.48508950099091	0.0	-75.48508950099091	-75.48508950099091	200.0	0.0	0.0	6	27245.31821280021	57873.44731519725	258012.49924978003	-95.26679970216648	200.0	120000	120000	16310.259	23344.332	146158.61	-13736.165	16310.467	23343.203	147427.8	-14038.202	4.0095897	4.231627	77.692406	-15.744031	-16428.54	605517.3	626134.25	7.660576576328277	0.0	0.0	0.31	1297.8844809532166
26940.678598971223	38760.411076314056	119005.1479560707	-61.21778276519434	200.0	0.3	0.3	3087.1619139674804	0.0	3087.1619139674804	3087.1619139674804	200.0	0.0	0.0	7	42634.07414366059	66768.11621221075	281479.31472989265	-118.89779611278645	200.0	140000	140000	20881.473	29872.357	161937.1	-22314.383	20881.783	29871.41	161946.16	-25519.611	4.0076094	4.265104	83.26301	-13.683537	-21022.32	979353.06	998232.06	9.858691707849502	0.0	0.0	0.52	1516.4932911396027
69134.67805646299	80874.58158500573	192322.6124243303	-30.737773410108023	200.0	0.7	0.7	-62.92792540100695	0.0	-62.92792540100695	-62.92792540100695	200.0	0.0	0.0	8	54927.07350110049	71969.87610047754	249445.0639360748	-79.63418859796629	200.0	160000	160000	26032.854	34337.773	169479.66	-27524.346	26033.285	34335.895	168619.94	-27185.6	4.0040026	4.17193	82.77852	-12.715681	-26171.959	1223474.5	1269457.9	11.59955982747078	0.0	0.0	0.54	1735.220025062561
22392.154584903878	38405.84237096778	102317.88869340457	-48.78864208763882	200.0	0.4	0.4	-21.39878683310342	0.0	-21.39878683310342	-21.39878683310342	200.0	0.0	0.0	9	74930.9486415158	78579.71266883936	329508.5342882395	-75.67247417205344	200.0	180000	180000	30450.367	37215.926	171118.55	-28004.129	30451.12	37213.973	170504.23	-28673.854	3.9985485	3.8610997	62.663906	-13.455001	-30596.236	1496053.0	1538700.8	13.551408429956437	0.0	0.0	0.7	1955.005628824234
120316.6748744937	82310.39141544876	245645.80706204136	271.3699248457134	200.0	0.5	0.5	17474.150492892386	0.0	17474.150492892386	17474.150492892386	200.0	0.0	0.0	10	81437.39701651092	76753.73625418167	298864.56474168063	-71.13923489279318	200.0	200000	200000	35165.027	39860.504	172289.4	-30649.906	35165.742	39859.082	172414.94	-30762.37	4.0036483	3.636864	58.526005	-13.114653	-35310.285	1714031.4	1742667.8	14.443750468158722	0.0	0.0	0.75	2174.5639131069183
141679.35221837225	103599.82973037926	333065.20147309726	-22.445221850087894	200.0	0.8	0.8	-20.253439862305214	0.0	-20.253439862305214	-20.253439862305214	200.0	0.0	0.0	11	77152.01638892434	79843.58610247284	311029.12433981895	-101.1738885526765	200.0	220000	220000	37026.68	40611.168	170022.64	-35733.316	37027.445	40608.996	170628.3	-35482.734	4.0040097	3.5162113	54.302567	-14.034494	-37122.188	2109279.5	2164437.5	16.400590461874007	0.0	0.0	0.7	2390.583419084549
42695.997209408306	73016.78782484682	252638.03191224867	-35.67252213657752	200.0	0.2	0.2	-7.274209728402034	0.0	-7.274209728402034	-7.274209728402034	200.0	0.0	0.0	12	78326.95211396439	79984.57023788938	309672.752055147	-99.89458689134915	200.0	240000	240000	36902.93	40723.26	167693.75	-42643.934	36903.37	40720.676	168531.62	-43192.484	4.002916	3.5694413	59.059517	-12.623795	-36976.996	2338599.8	2423598.5	17.92352621836662	0.0	0.0	0.76	2605.4188425540924
38986.245365480514	58174.01049787265	175642.13423754647	-39.16818451200284	200.0	0.5	0.5	116381.80665040451	0.0	116381.80665040451	116381.80665040451	200.0	1.0	1.0	13	86005.2988511143	84504.34163461773	320084.30780670606	-159.84139784565045	200.0	260000	260000	37680.504	42331.77	170780.89	-49928.285	37680.684	42329.24	169500.6	-48182.6	4.001118	3.5121343	62.998817	-13.03167	-37745.004	2780844.5	2864769.5	18.86551058883667	0.0	0.0	0.74	2821.3690464496613
108114.08400936949	81252.84542820361	282810.89943975187	2289.4288362626976	200.0	0.7	0.7	112498.04638573689	0.0	112498.04638573689	112498.04638573689	200.0	1.0	1.0	14	89905.00238742525	87352.37419829323	291555.43381143623	-144.71093210970912	200.0	280000	280000	38467.01	43365.094	169663.77	-54783.6	38467.29	43363.098	168901.34	-48278.758	3.9972055	3.416374	52.45879	-11.883251	-38512.7	3064875.0	3135335.5	19.243312998199464	0.0	0.0	0.69	3038.623774766922
90691.62578463029	85446.67991959235	273362.8289952309	-51.823882807378844	200.0	0.5	0.5	102654.78332869963	0.0	102654.78332869963	102654.78332869963	200.0	1.0	1.0	15	113558.7129664163	82303.65648091951	311930.07283713087	-70.33943134337314	200.0	300000	300000	40534.72	44026.74	168845.86	-50095.3	40535.12	44024.58	168438.61	-48717.89	4.0062203	3.3148305	58.05963	-13.481797	-40586.97	3216271.0	3287450.5	20.240123204708098	0.0	0.0	0.8	3249.087504386902
125957.2716858495	95971.64673680677	300664.4993988109	16232.23832202718	200.0	0.9	0.9	261020.26663728472	0.0	261020.26663728472	261020.26663728472	200.0	1.0	1.0	16	109383.14319016131	85419.46899439988	300073.2891971921	-103.3971299715003	200.0	320000	320000	42843.0	44430.375	166250.22	-48818.938	42843.17	44428.73	167797.12	-48144.312	3.9994047	3.3312201	58.974133	-15.70222	-42890.66	3406363.5	3467549.0	21.708091135311125	0.0	0.0	0.86	3459.134141921997
90124.01006588724	86080.99666664725	262015.34053600213	393.3510555300249	200.0	0.7	0.7	18521.549632683564	0.0	18521.549632683564	18521.549632683564	200.0	1.0	1.0	17	114406.51686919536	91997.27203402069	304069.39530288824	-89.00040617631704	200.0	340000	340000	44563.688	45535.094	173001.28	-59038.727	44563.96	45533.477	171897.8	-52208.48	4.0030704	3.2637465	56.87257	-13.331037	-44590.805	3684611.2	3756551.0	21.89105660209656	0.0	0.0	0.75	3672.291782140732
90516.88027906243	98763.62857052093	337451.8554802469	62.57454213539733	200.0	0.8	0.8	73679.40997835793	0.0	73679.40997835793	73679.40997835793	200.0	0.0	0.0	18	102367.63419747869	87527.49634603185	281893.010345292	-23.125155922013917	200.0	360000	360000	45047.414	46062.52	175113.39	-61486.895	45047.812	46060.09	172151.28	-61075.816	3.999559	3.250928	54.150894	-18.490911	-45067.227	3872841.8	3963643.5	22.278502207374572	0.0	0.0	0.75	3886.861324071884
150312.92909914983	121303.39621564519	319502.21639877674	-108.65068450237221	200.0	0.7	0.7	129167.58123331613	0.0	129167.58123331613	129167.58123331613	200.0	1.0	1.0	19	134792.70210643575	92961.06357394712	329180.1504649265	-124.48876436680824	200.0	380000	380000	46033.49	46775.957	174851.73	-62125.4	46033.844	46774.35	176368.27	-62806.55	4.0021334	3.3267667	55.81976	-13.031916	-46037.074	4011731.0	4083736.2	22.63518080739975	0.0	0.0	0.82	4101.162172317505
83984.48193531614	80149.1352765136	231020.671320577	-105.96064800329731	200.0	0.6	0.6	158670.39207436034	0.0	158670.39207436034	158670.39207436034	200.0	1.0	1.0	20	118014.91487073473	98478.17118086883	319906.1943487353	-143.63376692302467	200.0	400000	400000	48363.895	48386.977	186297.6	-68950.07	48364.195	48384.184	186142.72	-69051.02	3.9998224	3.3382063	55.00553	-12.46486	-48385.152	4350211.0	4470463.5	24.192847323036194	0.0	0.0	0.81	4315.813955545425
167580.03877270117	111623.44711676228	316405.48242174875	-45.47483164370189	200.0	0.9	0.9	273962.2935012098	0.0	273962.2935012098	273962.2935012098	200.0	1.0	1.0	21	141816.9759355699	106129.49312266402	331882.1729837323	-92.74081585159138	200.0	420000	420000	49751.684	49083.32	193445.11	-71851.04	49752.098	49081.785	192714.34	-73556.39	4.001906	3.2727885	58.866158	-13.354649	-49761.215	4447873.5	4506081.5	24.05376738348007	0.0	0.0	0.81	4529.795890569687
103669.17133002386	88855.74425415185	230141.92298206245	-46.48822551575156	200.0	0.6	0.6	136193.01843689146	0.0	136193.01843689146	136193.01843689146	200.0	1.0	1.0	22	162513.53231563588	91863.50031872238	318498.5128699914	-96.162916325677	200.0	440000	440000	52174.086	50468.688	191542.66	-83509.28	52174.266	50468.05	193032.28	-77649.38	3.9995997	3.2797868	58.82295	-14.841057	-52186.746	4584941.0	4626041.0	24.769150428295134	0.0	0.0	0.92	4743.935205698013
152740.84420097727	82407.87243879566	286847.40513892745	46712.22076806865	200.0	0.7	0.7	107876.99331905095	0.0	107876.99331905095	107876.99331905095	200.0	1.0	1.0	23	149679.00891076983	100018.50125527092	320806.5574946303	-60.3336238417674	200.0	460000	460000	54019.41	51349.28	193647.53	-76998.1	54019.89	51347.91	194001.11	-80958.6	3.9999902	3.2693846	85.12064	-11.836015	-54025.32	4801369.5	4849050.5	25.405989019584656	0.0	0.0	0.85	4957.165432691574
109730.45930796405	93370.13932784271	242603.1501157318	-45.90058068857894	200.0	0.8	0.8	133402.41393769556	0.0	133402.41393769556	133402.41393769556	200.0	1.0	1.0	24	160418.83393400753	98870.01449582572	351462.4563913635	-27.060692378587863	200.0	480000	480000	55847.5	52281.766	192994.61	-83646.695	55847.98	52280.074	192292.02	-88538.055	4.0016303	3.2860677	50.186295	-11.472778	-55849.496	4848428.0	4910176.0	25.67597733488083	0.0	0.0	0.93	5170.557245492935
143514.11246312637	105831.56827776638	330310.79178007593	-64.628816052579	200.0	0.8	0.8	332458.8085146196	0.0	332458.8085146196	332458.8085146196	200.0	1.0	1.0	25	149504.09744305853	94040.67714576884	332781.7146650087	-36.11769200109765	200.0	500000	500000	57684.96	53649.316	193615.44	-81845.05	57685.695	53647.62	193272.66	-84381.49	4.003324	3.2864978	56.11399	-13.135477	-57688.863	5136674.0	5193075.5	26.809190288352966	0.0	0.0	0.91	5383.9293377399445
