test/stochastic/0/push-back-v1/return/avg	test/stochastic/0/push-back-v1/return/std	test/stochastic/0/push-back-v1/return/max	test/stochastic/0/push-back-v1/return/min	test/stochastic/0/push-back-v1/ep_length	test/stochastic/0/push-back-v1/success	test/stochastic/average_success	test/deterministic/0/push-back-v1/return/avg	test/deterministic/0/push-back-v1/return/std	test/deterministic/0/push-back-v1/return/max	test/deterministic/0/push-back-v1/return/min	test/deterministic/0/push-back-v1/ep_length	test/deterministic/0/push-back-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-34.698367816128076	3.060337434673713	-31.648340293823157	-43.08908975327326	200.0	0.0	0.0	-37.29402678746248	0.0	-37.29402678746248	-37.29402678746248	200.0	0.0	0.0	1	-54.92079211443038	19.465682559551315	-28.618024299481398	-98.73792695088312	200.0	20000	20000	6.4184065	7.47872	19.627556	-18.767326	6.4183226	7.4787774	19.644571	-18.99829	2.0732946	4.3496046	38.834885	-13.331398	-6.734089	0.026459215	0.026534317	0.10934739394843775	0.0	0.0	0.0	170.0223090648651
-27.95166559523971	3.3338494318979452	-22.047902525509247	-32.05357454395514	200.0	0.0	0.0	-31.00137451961527	0.0	-31.00137451961527	-31.00137451961527	200.0	0.0	0.0	2	-30.574782912896797	5.48238234472583	-21.01002313200278	-60.43615072317686	200.0	40000	40000	-7.015215	5.3258615	2.8345368	-42.136692	-7.0152826	5.3259416	2.8426545	-41.450043	3.9836051	5.252004	81.77512	-13.734982	6.9865017	0.04381393	0.042908516	0.004061978684784844	0.0	0.0	0.0	359.87898778915405
-22.226230109874187	2.6349271126548914	-17.276364114984585	-25.807190632125707	200.0	0.0	0.0	-21.276283577275283	0.0	-21.276283577275283	-21.276283577275283	200.0	0.0	0.0	3	-27.92660437489296	7.316190706958071	-20.72032473982492	-73.27610929814689	200.0	60000	60000	-11.764747	4.7687016	-6.5898676	-54.364895	-11.7647705	4.7685304	-6.5406876	-54.242092	3.9894102	5.5676436	142.86441	-12.885527	11.758415	0.046215005	0.046924766	0.0032059981871047057	0.0	0.0	0.0	540.8560883998871
-30.998589143051202	6.357154485892613	-21.34083187591743	-39.28101314730674	200.0	0.0	0.0	-43.272727102314576	0.0	-43.272727102314576	-43.272727102314576	200.0	0.0	0.0	4	-26.066053168409038	5.210307151674811	-18.155269343066983	-48.079377100181134	200.0	80000	80000	-12.664528	4.0961494	-9.388247	-67.93083	-12.664586	4.096111	-9.57901	-50.367313	4.001986	5.024583	132.15848	-15.245481	12.657414	0.037395563	0.036745686	0.0028175067515228873	0.0	0.0	0.0	724.1917262077332
-20.66460919160893	1.9311409693395114	-17.779944177796448	-24.333416312065204	200.0	0.0	0.0	-22.02708837176045	0.0	-22.02708837176045	-22.02708837176045	200.0	0.0	0.0	5	-24.32428189010414	4.338824874178106	-18.433809944881112	-42.948137082833185	200.0	100000	100000	-12.272665	3.5848446	-9.543866	-70.236824	-12.272671	3.5849075	-9.647875	-80.87288	3.9866402	4.8247414	131.83974	-15.690857	12.259524	0.02636298	0.026395535	0.0025329630636726505	0.0	0.0	0.0	907.2509379386902
-24.692679425675117	0.8833941643025414	-23.382942306131437	-26.41767499460468	200.0	0.0	0.0	-24.69405460107279	0.0	-24.69405460107279	-24.69405460107279	200.0	0.0	0.0	6	-23.690873350395314	4.338536946042203	-18.472062723086363	-50.65936374421572	200.0	120000	120000	-11.685527	3.241848	-9.686196	-49.60425	-11.685514	3.2419736	-9.590024	-49.423935	3.9972742	4.7363124	88.0623	-14.769759	11.668631	0.019472245	0.019083492	0.0022575634531036485	0.0	0.0	0.0	1089.9021263122559
-20.26834359249429	1.57124308771515	-17.855465667094805	-22.663596307549646	200.0	0.0	0.0	-18.125293033281004	0.0	-18.125293033281004	-18.125293033281004	200.0	0.0	0.0	7	-22.27743986921935	2.844297456244716	-17.772278766901433	-37.081354509901885	200.0	140000	140000	-11.218938	2.95899	-9.450879	-51.122902	-11.218934	2.9589422	-9.536446	-48.503468	3.9973993	4.672904	93.91907	-14.070915	11.204117	0.016407425	0.016663542	0.0020502474425418767	0.0	0.0	0.0	1273.662462234497
-19.665156021315337	2.1134235463995834	-16.65684449012704	-23.44114332419582	200.0	0.0	0.0	-22.67078722859385	0.0	-22.67078722859385	-22.67078722859385	200.0	0.0	0.0	8	-22.07433090279496	3.672973955750197	-17.57154290948209	-42.23206944435163	200.0	160000	160000	-10.826359	2.8040824	-9.083104	-47.20667	-10.826359	2.8040428	-8.945339	-48.140877	4.0236454	4.7258806	86.739235	-14.339252	10.812904	0.015481462	0.0157005	0.001911457847105339	0.0	0.0	0.0	1456.942783355713
-22.56567848015386	1.3969426358593178	-20.115365015209402	-24.56884419452561	200.0	0.0	0.0	-23.19041788534719	0.0	-23.19041788534719	-23.19041788534719	200.0	0.0	0.0	9	-21.856767094944363	2.860264600368043	-17.573305611077522	-34.366767618542234	200.0	180000	180000	-10.457726	2.6239004	-8.869873	-48.423336	-10.457708	2.6236851	-8.80209	-48.19869	3.969198	4.682419	118.10756	-14.469006	10.44558	0.0130064925	0.013923466	0.0018535493783419952	0.0	0.0	0.0	1640.34561753273
-20.122527444035683	0.7798661976557438	-18.779775919686376	-21.3913422203956	200.0	0.0	0.0	-17.774122895594047	0.0	-17.774122895594047	-17.774122895594047	200.0	0.0	0.0	10	-20.934201213089963	2.4411306619511173	-18.003219668248466	-32.828666542843756	200.0	200000	200000	-10.173695	2.5346885	-8.691912	-52.97294	-10.173682	2.5347657	-8.775064	-53.38063	4.0101385	4.6511307	122.03632	-14.183087	10.161467	0.01275657	0.012566257	0.00172476551051368	0.0	0.0	0.0	1822.9395174980164
-18.21142260151123	0.6936167727036056	-16.923125612215166	-19.68745526033447	200.0	0.0	0.0	-17.5857994396335	0.0	-17.5857994396335	-17.5857994396335	200.0	0.0	0.0	11	-21.61579703230896	4.932883979854196	-16.496921442515088	-54.56585815842783	200.0	220000	220000	-9.942528	2.4371138	-8.638309	-51.96873	-9.942527	2.4371555	-8.676878	-52.42835	3.9983075	4.6070733	107.31226	-16.357403	9.929251	0.011599441	0.0114124315	0.0017605193758499808	0.0	0.0	0.0	2006.1306533813477
-18.133164308247125	0.7594116914855675	-16.860287239638375	-19.389776551415746	200.0	0.0	0.0	-17.917050119160994	0.0	-17.917050119160994	-17.917050119160994	200.0	0.0	0.0	12	-20.187330966584636	2.574010316649554	-17.408717257792233	-37.09417595111749	200.0	240000	240000	-9.703718	2.2892983	-8.549185	-49.169777	-9.703696	2.2893095	-8.528275	-49.458435	3.989541	4.4715466	102.12357	-16.731083	9.6906185	0.009887625	0.009982749	0.0016636046002153307	0.0	0.0	0.0	2189.34002327919
-21.310279996505518	1.8896210141895426	-18.577225734952037	-25.331506328281	200.0	0.0	0.0	-19.243390298002048	0.0	-19.243390298002048	-19.243390298002048	200.0	0.0	0.0	13	-20.544504340097756	2.9956835539309488	-17.308961110050582	-34.038112305118695	200.0	260000	260000	-9.52953	2.1547751	-7.8304253	-47.81036	-9.529536	2.1549125	-8.258943	-47.42041	3.995761	4.517779	105.54967	-13.54914	9.518341	0.009683371	0.009249033	0.001587017909012502	0.0	0.0	0.0	2372.282158136368
-19.01030788968523	0.6875519952058411	-18.03055670158385	-20.472066382838875	200.0	0.0	0.0	-18.627055835038256	0.0	-18.627055835038256	-18.627055835038256	200.0	0.0	0.0	14	-20.20272755677449	2.46375507850967	-16.787867371839774	-33.78142831352805	200.0	280000	280000	-9.441447	2.119166	-8.292118	-48.060432	-9.441439	2.1191115	-8.248712	-48.000633	3.992765	4.5008593	96.72171	-14.151915	9.430411	0.008914039	0.009094598	0.0014927900614275132	0.0	0.0	0.0	2555.2116117477417
