test/stochastic/0/hammer-v1/return/avg	test/stochastic/0/hammer-v1/return/std	test/stochastic/0/hammer-v1/return/max	test/stochastic/0/hammer-v1/return/min	test/stochastic/0/hammer-v1/ep_length	test/stochastic/0/hammer-v1/success	test/stochastic/average_success	test/deterministic/0/hammer-v1/return/avg	test/deterministic/0/hammer-v1/return/std	test/deterministic/0/hammer-v1/return/max	test/deterministic/0/hammer-v1/return/min	test/deterministic/0/hammer-v1/ep_length	test/deterministic/0/hammer-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-17.453570070168162	5.230567777028557	-8.115607261657715	-23.525005340576172	200.0	0.0	0.0	-12.47009975700757	0.0	-12.47009975700757	-12.47009975700757	200.0	0.0	0.0	1	-30.518270333722192	13.000204744737783	23.307241439819336	-68.1857538777114	200.0	20000	20000	11.040341	5.389464	21.121822	-9.170584	11.04041	5.389344	21.207777	-9.284474	1.9948775	4.8105316	65.22867	-12.261713	-11.341527	0.01635246	0.015916305	0.10818712229425038	0.0	0.0	0.0	173.7545461654663
-16.981608692498007	2.4886311570436632	-12.874913215637207	-20.307088034409535	200.0	0.0	0.0	-24.897209251036543	0.0	-24.897209251036543	-24.897209251036543	200.0	0.0	0.0	2	-22.72977638277383	50.83099283222344	345.3711242675781	-110.92797914313815	200.0	40000	40000	-1.0036057	4.818548	276.50955	-33.25682	-1.0023277	4.83481	237.94456	-31.036972	4.1898255	5.9677234	133.28195	-12.95119	0.9886828	0.28965652	0.17121929	0.006177739765460137	0.0	0.0	0.01	371.3550362586975
-69.16235527935842	6.0160730208392	-62.86946320739875	-80.23577936902079	200.0	0.0	0.0	-73.57273598845606	0.0	-73.57273598845606	-73.57273598845606	200.0	0.0	0.0	3	-22.995325701807314	298.58664104317	2933.010498046875	-124.73762489969683	200.0	60000	60000	-9.263035	16.040176	1346.3452	-69.742004	-9.263886	16.034744	1403.3147	-72.24539	4.8211484	6.932299	174.54117	-13.446079	8.7935505	7.247336	7.141194	0.03832126647848636	0.0	0.0	0.01	555.0250165462494
-67.88689780555168	5.202525891716251	-57.84783869217633	-75.13555310192015	200.0	0.0	0.0	-72.4693719214375	0.0	-72.4693719214375	-72.4693719214375	200.0	0.0	0.0	4	-61.66788130633733	20.779144952185558	12.025573411220781	-109.11637336579717	200.0	80000	80000	-22.682102	39.47742	2592.34	-118.70378	-22.679611	39.496887	2669.1836	-112.15148	4.062184	5.165046	102.21224	-15.427713	21.695272	31.832262	30.737803	0.10036545461900533	0.0	0.0	0.0	737.8244433403015
-76.29937073030433	7.377009110771286	-60.01785826909472	-86.69143807663087	200.0	0.0	0.0	-80.96406290132539	0.0	-80.96406290132539	-80.96406290132539	200.0	0.0	0.0	5	-14.851139455108218	550.0363362374895	5452.61572265625	-129.3459539680066	200.0	100000	100000	-39.17124	96.75788	7367.7183	-149.31447	-39.175224	96.70957	6882.0415	-149.65285	4.1802845	5.8690166	115.571365	-13.422597	37.323124	183.24815	178.37071	0.1377294367272407	0.0	0.0	0.0	920.2016959190369
-18.875315077419625	12.021834328012517	-6.90116548538208	-49.24149247720737	200.0	0.0	0.0	-48.029673733818605	0.0	-48.029673733818605	-48.029673733818605	200.0	0.0	0.0	6	92.11972460391934	1364.6449009353537	13667.3525390625	-108.03871410731101	200.0	120000	120000	55.019794	372.7658	8290.192	-217.15305	55.01925	372.85318	8207.624	-202.75114	4.05231	5.8984766	142.21873	-13.800982	-57.93815	377.0666	353.24255	0.19056063722893596	0.0	0.0	0.0	1103.654846906662
536.7838188588446	1684.0418019278866	5588.8564453125	-36.690328735869976	200.0	0.0	0.0	-7.364555519286617	0.0	-7.364555519286617	-7.364555519286617	200.0	0.0	0.0	7	-29.318916641829677	19.010550960222307	58.672061920166016	-76.30997381565128	200.0	140000	140000	423.2285	556.5644	13774.236	-678.1991	423.23386	556.60754	13266.486	-633.95807	4.090024	5.3466134	149.20447	-13.220153	-428.6498	1146.7501	1114.0706	0.4262506403133273	0.0	0.0	0.0	1287.1455006599426
-59.3083233706505	10.099574470669284	-46.646205664484846	-75.12443525689316	200.0	0.0	0.0	-66.48353238440441	0.0	-66.48353238440441	-66.48353238440441	200.0	0.0	0.0	8	-52.28104271946141	26.499415654191754	118.23796844482422	-106.6144805655598	200.0	160000	160000	273.33694	388.8348	15683.017	-850.1649	273.312	388.97107	16085.204	-893.0538	3.9951923	5.4098587	155.53543	-14.393873	-280.48456	1751.344	1692.3336	0.4899328600630164	0.0	0.0	0.01	1470.0836939811707
-68.01876344059414	27.306850009361185	-37.559949204856835	-104.44657671524999	200.0	0.0	0.0	-104.12106995865382	0.0	-104.12106995865382	-104.12106995865382	200.0	0.0	0.0	9	-52.54420318749637	25.834527231415972	18.699981723873304	-116.88322465329	200.0	180000	180000	166.10461	330.08325	16353.227	-750.66705	166.09885	330.05786	15870.852	-862.28455	4.0817904	5.844467	205.13792	-13.793571	-172.83405	1421.3376	1415.501	0.3870157568514347	0.0	0.0	0.01	1652.0288372039795
-73.44973914283024	37.772076281861345	-26.94182822184937	-109.99567926900839	200.0	0.0	0.0	-103.24959814698981	0.0	-103.24959814698981	-103.24959814698981	200.0	0.0	0.0	10	214.18507305470274	1089.5103284659092	7006.40234375	-112.68900739164107	200.0	200000	200000	215.77655	454.6896	15286.844	-647.66003	215.7692	454.81564	14653.191	-582.9473	4.0282254	5.3225007	156.79236	-14.018852	-223.88264	1236.6307	1189.4459	0.4835344772949815	0.0	0.0	0.02	1833.1440126895905
-17.430739552448877	5.187229306079249	-8.623254776000977	-25.663143157958984	200.0	0.0	0.0	-52.49161	0.0	-52.49161	-52.49161	200.0	0.0	0.0	11	25.273706046067083	479.4220023095903	4788.54541015625	-95.44997860618038	200.0	220000	220000	303.45212	360.924	9433.202	-587.2131	303.4561	360.99576	9540.611	-544.34296	4.00269	4.7143054	133.00049	-14.4637985	-309.05298	666.104	641.6116	0.3410253019422293	0.0	0.0	0.01	2017.390870809555
-40.27271865413462	5.343981088329477	-32.6986693143838	-48.35978719882492	200.0	0.0	0.0	-42.60289909276156	0.0	-42.60289909276156	-42.60289909276156	200.0	0.0	0.0	12	14.996273688705967	376.8560361827152	3494.672607421875	-88.0974825750124	200.0	240000	240000	237.2771	240.07819	9601.705	-726.5223	237.28465	240.07234	10052.938	-720.07544	3.983087	5.321466	137.54282	-13.692693	-242.62	521.3698	519.5134	0.28985032499581576	0.0	0.0	0.01	2198.6321926116943
-30.413613595010002	24.159677283472938	-6.393359199545042	-65.8858913670353	200.0	0.0	0.0	-7.572000889323112	0.0	-7.572000889323112	-7.572000889323112	200.0	0.0	0.0	13	-25.932485445691142	130.3879280620505	1226.72705078125	-114.25528765668729	200.0	260000	260000	168.45546	183.7645	10809.161	-864.87396	168.44487	183.80452	10997.965	-793.39594	4.0552344	5.2882323	159.09679	-12.547536	-172.1836	502.8551	503.73514	0.20815030902475118	0.0	0.0	0.02	2380.1885118484497
-60.06469102560395	10.704502696325338	-44.92430030827863	-80.30208084091473	200.0	0.2	0.2	-47.17729379161749	0.0	-47.17729379161749	-47.17729379161749	200.0	0.0	0.0	14	224.52623816065312	1427.7818155758214	9723.4599609375	-109.50886487078341	200.0	280000	280000	127.61195	164.6247	9696.424	-661.7813	127.61005	164.62668	9425.93	-617.5844	3.9824953	5.0957127	144.22371	-15.230194	-130.63145	369.04892	357.56302	0.18836831440329552	0.0	0.0	0.03	2562.6479692459106
