test/stochastic/0/handle-press-side-v1/return/avg	test/stochastic/0/handle-press-side-v1/return/std	test/stochastic/0/handle-press-side-v1/return/max	test/stochastic/0/handle-press-side-v1/return/min	test/stochastic/0/handle-press-side-v1/ep_length	test/stochastic/0/handle-press-side-v1/success	test/stochastic/average_success	test/deterministic/0/handle-press-side-v1/return/avg	test/deterministic/0/handle-press-side-v1/return/std	test/deterministic/0/handle-press-side-v1/return/max	test/deterministic/0/handle-press-side-v1/return/min	test/deterministic/0/handle-press-side-v1/ep_length	test/deterministic/0/handle-press-side-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-18.320230585919905	4.943687657563112	-13.513363027338293	-28.498827324943875	200.0	0.0	0.0	-18.067666193988195	0.0	-18.067666193988195	-18.067666193988195	200.0	0.0	0.0	1	359.077417275244	3155.0372959114284	31334.023849987483	-84.80640507102989	200.0	20000	20000	119.146355	296.92355	4788.9023	-77.78983	119.14777	296.91925	4724.2114	-67.1624	5.092838	11.516932	335.34708	-14.4929905	-123.562355	144.78168	145.75172	0.2973267650949328	0.0	0.0	0.0	165.51329517364502
49789.81574861809	57306.42602243622	132402.46943619693	474.484100654349	200.0	0.0	0.0	119136.77104469544	0.0	119136.77104469544	119136.77104469544	200.0	0.0	0.0	2	21945.28774279372	30115.92765572923	117211.19087527967	-76.6003082188035	200.0	40000	40000	4734.4575	4763.7266	47010.973	-742.918	4734.4614	4763.6465	47421.703	-731.1696	4.1006994	4.0698657	67.02342	-15.815878	-4787.673	22835.45	23104.305	4.59767206351161	0.0	0.0	0.0	354.00397181510925
61546.24171184995	48311.35390864102	115843.1681596143	-67.7153484031879	200.0	0.0	0.0	3224.6142328574665	0.0	3224.6142328574665	3224.6142328574665	200.0	0.0	0.0	3	65246.87547932226	52277.99078122929	189149.69694164215	-40.766447006104954	200.0	60000	60000	15273.645	13372.787	72775.1	-5689.054	15273.675	13372.697	72773.63	-5976.176	4.0244265	3.4613538	107.84562	-15.023515	-15351.888	189280.31	189530.52	7.958316715288162	0.0	0.0	0.07	537.7264583110809
146226.0991212236	11344.00005901691	158776.89240086355	126687.58572438762	200.0	0.6	0.6	151435.69167772055	0.0	151435.69167772055	151435.69167772055	200.0	0.0	0.0	4	116837.63861714976	56358.69461915169	223029.46695124704	-16.22143072876883	200.0	80000	80000	33253.73	20769.299	103078.664	-9568.812	33253.88	20769.047	102445.445	-10232.8955	3.9968224	3.0915227	54.813534	-13.380102	-33424.33	461289.84	462205.44	14.60036752758026	0.0	0.0	0.45	722.6902828216553
172167.451835288	54384.79306375411	267789.7086599154	62394.13085443165	200.0	1.0	1.0	162882.00547821503	0.0	162882.00547821503	162882.00547821503	200.0	1.0	1.0	5	143353.0230175058	59142.905098664196	275065.6241245673	9339.619989834007	200.0	100000	100000	51216.797	26600.164	140452.9	-10194.74	51216.86	26599.682	140523.75	-11323.23	3.9986968	2.9079509	72.11185	-13.371815	-51365.332	625837.25	636266.7	15.44205077214241	0.0	0.0	0.7	907.8694536685944
160355.1142618471	45828.164040431955	229224.5198711458	95127.1639586749	200.0	1.0	1.0	173915.83004231486	0.0	173915.83004231486	173915.83004231486	200.0	1.0	1.0	6	141692.99963494844	65679.24238102457	278886.8804874059	2418.9513996620403	200.0	120000	120000	62207.18	30830.994	193824.2	-18425.691	62207.32	30829.748	192320.78	-14209.6045	4.0010457	2.8748	76.04341	-12.948514	-62315.598	1058877.8	1082285.1	15.177661703920364	0.0	0.0	0.77	1092.0335512161255
152098.63197589573	79139.49844239299	283272.645868293	45345.387890392754	200.0	0.6	0.6	114923.3059624484	0.0	114923.3059624484	114923.3059624484	200.0	0.0	0.0	7	142762.358331687	62554.01265726409	271565.69555398	2179.2348507928396	200.0	140000	140000	68680.16	35272.586	223478.69	-25382.61	68680.125	35272.688	220681.66	-23470.879	4.002686	2.9126556	57.685856	-14.098592	-68739.0	1606835.4	1607527.4	17.41847545056343	0.0	0.0	0.69	1275.1713273525238
219611.12511485355	41086.498742586584	290565.1358658394	161693.20015976456	200.0	1.0	1.0	293034.7491896795	0.0	293034.7491896795	293034.7491896795	200.0	1.0	1.0	8	140235.6231965496	60516.37671630644	298789.15602857823	3420.1249354026363	200.0	160000	160000	76656.69	39141.57	223054.67	-32299.266	76656.555	39141.54	223259.44	-32321.918	4.002065	2.9670346	70.91841	-14.62911	-76732.8	2150826.5	2167059.2	21.882783373451232	0.0	0.0	0.74	1459.5376193523407
195654.35287385702	87782.96992709684	296938.37849751115	62875.970890744386	200.0	0.7	0.7	286458.4117601477	0.0	286458.4117601477	286458.4117601477	200.0	1.0	1.0	9	142507.7949904577	69731.09822624698	301049.68293409963	15190.687188972004	200.0	180000	180000	81693.99	39115.926	203534.36	-30483.316	81693.95	39115.574	202123.11	-29847.404	4.002108	3.004221	66.11328	-12.001131	-81741.58	2442650.8	2464960.0	23.109626606845854	0.0	0.0	0.73	1642.7105915546417
196369.91667694607	50359.38769559419	280404.9155989451	131492.40976938748	200.0	1.0	1.0	230909.9664055035	0.0	230909.9664055035	230909.9664055035	200.0	1.0	1.0	10	134596.41590042692	61452.48297331143	294623.9199490354	3693.7627712573412	200.0	200000	200000	82377.62	38772.312	207626.58	-23389.795	82377.54	38772.3	208337.75	-23531.502	3.9911644	2.9119155	75.41312	-15.69297	-82373.68	2862946.2	2862669.0	22.68122044048309	0.0	0.0	0.77	1826.248807668686
174476.00148879355	56272.43613136783	231865.20038064526	33486.583167856785	200.0	0.9	0.9	191628.182455079	0.0	191628.182455079	191628.182455079	200.0	1.0	1.0	11	160184.122617373	69677.67570126145	299359.49799943285	17740.634501290082	200.0	220000	220000	84630.63	39904.61	210654.56	-32891.094	84630.63	39904.285	212183.33	-27646.393	4.014248	2.9777775	78.17592	-12.975803	-84670.94	3317769.8	3322622.8	23.95064414730072	0.0	0.0	0.83	2009.1493129730225
159867.15335181128	35309.88031541319	202141.47320048846	87000.7558657565	200.0	0.9	0.9	85447.65014036263	0.0	85447.65014036263	85447.65014036263	200.0	1.0	1.0	12	155476.40122018135	61218.77638362475	289328.81911063404	38522.01169642001	200.0	240000	240000	92343.03	41466.734	211052.6	-24514.758	92343.14	41466.984	210099.12	-24017.127	4.000153	3.109801	98.96922	-14.516714	-92432.586	3564154.0	3546171.5	27.21932278223038	0.0	0.0	0.82	2188.691547393799
194734.02558008893	77071.5557132963	281988.9590129623	42256.03703636168	200.0	0.9	0.9	208806.49445213532	0.0	208806.49445213532	208806.49445213532	200.0	1.0	1.0	13	151772.92821855677	66471.01856747088	291224.9519612158	14601.001504392545	200.0	260000	260000	98069.18	41819.246	210294.84	-29054.63	98069.34	41818.81	211886.92	-25805.582	4.004925	3.0560412	91.09291	-14.33219	-98179.695	3720657.2	3726823.8	28.18991797437668	0.0	0.0	0.83	2369.1761260032654
210882.34926942232	53604.812411311126	281365.99057080754	107186.41789828513	200.0	1.0	1.0	107655.06191798087	0.0	107655.06191798087	107655.06191798087	200.0	1.0	1.0	14	152538.02338777846	66375.43849413402	292563.3230591572	28784.597731406135	200.0	280000	280000	102730.336	42157.95	214191.3	-22428.178	102730.48	42157.35	214916.3	-19443.588	4.0081086	3.0581331	86.17302	-12.917925	-102848.14	3829446.8	3845958.5	29.022467026996612	0.0	0.0	0.82	2548.814184188843
72171.5064576291	41827.72831549635	146967.58044972803	23020.073142678862	200.0	0.5	0.5	51734.510334270744	0.0	51734.510334270744	51734.510334270744	200.0	0.0	0.0	15	158252.96280086733	66507.2261463698	302003.66112303623	28536.69092765346	200.0	300000	300000	105365.32	42716.105	216243.38	-24225.588	105365.4	42716.3	213745.81	-23616.762	4.00151	3.0879493	85.966286	-16.254587	-105469.47	4073864.0	4066381.8	29.356856237697603	0.0	0.0	0.85	2729.669317960739
129968.38354191117	39311.62075435421	178343.63623836104	39792.373270033895	200.0	0.7	0.7	173187.84811685415	0.0	173187.84811685415	173187.84811685415	200.0	1.0	1.0	16	169784.1390833054	60467.00624720302	303997.31333266094	18381.264851053995	200.0	320000	320000	108586.24	43500.566	219578.56	-28532.197	108586.266	43500.16	216075.11	-27369.748	4.0014153	3.175712	77.15024	-12.589941	-108700.59	4172678.0	4189166.0	29.4738510597229	0.0	0.0	0.91	2910.8266410827637
135936.8938543994	65462.65298017036	247613.00392268275	9767.641473431391	200.0	0.6	0.6	142370.98846439578	0.0	142370.98846439578	142370.98846439578	200.0	0.0	0.0	17	172233.6081806581	58851.89856566694	295309.5952540467	21109.218459957283	200.0	340000	340000	111517.31	43608.582	218600.2	-32236.764	111517.31	43608.164	217778.23	-31607.488	4.0005717	3.2043684	83.96171	-12.807916	-111642.15	4037879.8	4059315.0	28.842140540027618	0.0	0.0	0.89	3090.6687252521515
249531.31582576787	15201.960088111926	274540.35885795497	223151.59925510304	200.0	1.0	1.0	215690.61325768108	0.0	215690.61325768108	215690.61325768108	200.0	1.0	1.0	18	167922.19665223436	59096.085206954565	311909.62718113774	34501.694425995796	200.0	360000	360000	113805.31	44058.066	218634.77	-30556.602	113805.195	44058.383	218432.77	-31245.012	4.006013	3.2918375	70.43272	-12.477062	-113911.68	4220952.0	4224603.0	28.183138765335084	0.0	0.0	0.86	3271.01083779335
153082.9113105037	21372.03052401307	184440.92050287547	119231.47964993851	200.0	0.8	0.8	163207.11252729388	0.0	163207.11252729388	163207.11252729388	200.0	0.0	0.0	19	174616.16263054946	56782.40074429957	298396.635376674	33316.665447846506	200.0	380000	380000	115524.87	43781.1	219476.33	-30789.771	115524.66	43781.773	220213.88	-32327.916	4.0033226	3.2843654	86.71928	-12.738406	-115622.44	4044420.2	4028755.2	27.655036025714875	0.0	0.0	0.88	3450.6244728565216
