test/stochastic/0/window-close-v1/return/avg	test/stochastic/0/window-close-v1/return/std	test/stochastic/0/window-close-v1/return/max	test/stochastic/0/window-close-v1/return/min	test/stochastic/0/window-close-v1/ep_length	test/stochastic/0/window-close-v1/success	test/stochastic/average_success	test/deterministic/0/window-close-v1/return/avg	test/deterministic/0/window-close-v1/return/std	test/deterministic/0/window-close-v1/return/max	test/deterministic/0/window-close-v1/return/min	test/deterministic/0/window-close-v1/ep_length	test/deterministic/0/window-close-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-24.249995335518683	1.9913524804231064	-19.676327800721076	-26.103038637247174	200.0	0.0	0.0	-24.32001981217776	0.0	-24.32001981217776	-24.32001981217776	200.0	0.0	0.0	1	-26.760345894495586	55.44284217396233	445.3588312820164	-66.64528625070407	200.0	20000	20000	22.436905	15.148783	148.37985	-13.262342	22.437162	15.147919	158.77974	-14.874077	2.4733107	5.11593	111.93964	-15.587938	-22.852926	0.8003077	0.79841316	0.12019219261687249	0.0	0.0	0.0	176.86354041099548
8890.9311832958	26769.21197354431	89198.5669245439	-34.51269300787179	200.0	0.1	0.1	-33.28584843100382	0.0	-33.28584843100382	-33.28584843100382	200.0	0.0	0.0	2	6994.810077381394	26431.0419355326	160925.4899983479	-120.55058366021599	200.0	40000	40000	559.6748	3614.965	72225.35	-466.2945	559.7568	3614.9429	74276.42	-437.65414	6.1313004	10.452431	458.7581	-14.0920515	-567.85187	4986.385	4891.198	0.5826629457756412	0.0	0.0	0.12	367.6520028114319
-51.84987602693991	3.3138712100405656	-46.77585230576126	-56.36550143065016	200.0	0.0	0.0	-54.54579095720502	0.0	-54.54579095720502	-54.54579095720502	200.0	0.0	0.0	3	41184.34186550101	55467.03814741956	183846.39234793503	-80.52972401281482	200.0	60000	60000	9536.17	21069.896	170360.58	-2401.3767	9536.551	21069.367	169765.22	-2043.0847	4.137803	4.7185183	78.11749	-12.5516205	-9606.998	286015.53	291222.25	6.833702251470089	0.0	0.0	0.45	554.3670210838318
17655.708053324335	27206.37178122329	64094.57606220618	-30.549104157216178	200.0	0.4	0.4	-28.507856643121503	0.0	-28.507856643121503	-28.507856643121503	200.0	0.0	0.0	4	62085.81642076535	50997.41840848867	163574.19115949058	-50.969758865026655	200.0	80000	80000	31146.076	44979.81	230214.23	-3249.49	31146.316	44979.277	230845.03	-3119.1223	4.0321937	4.139831	56.743694	-16.397753	-31281.836	1232532.5	1241257.2	18.72462291560173	0.0	0.0	0.59	742.171644449234
121844.95270479312	15437.162255326655	150126.92358596195	99246.41591439226	200.0	1.0	1.0	152477.79058802847	0.0	152477.79058802847	152477.79058802847	200.0	1.0	1.0	5	81527.56020209454	55271.3850231447	174978.00930607866	-44.27358199916697	200.0	100000	100000	53163.35	60405.234	261825.9	-4895.913	53163.734	60405.316	262685.84	-5629.036	4.0187435	3.7637255	57.173447	-14.021592	-53315.52	2629607.0	2608443.2	24.903744791412354	0.0	0.0	0.68	930.5948312282562
85843.78049506313	68915.86679411489	155715.37777552338	314.2232319109587	200.0	0.6	0.6	142768.9075105066	0.0	142768.9075105066	142768.9075105066	200.0	1.0	1.0	6	86175.54183321395	54431.86813748764	181303.16132682268	-50.30544399097681	200.0	120000	120000	73528.14	67943.484	259077.86	-5228.7905	73528.63	67942.94	259298.19	-6366.209	4.0128455	3.6077583	79.264435	-13.378803	-73755.81	3097392.5	3094482.8	31.94948341255188	0.0	0.0	0.73	1118.128140449524
71129.70261124507	12868.116043692788	97449.61453286065	55187.495305058714	200.0	0.7	0.7	73864.63177928106	0.0	73864.63177928106	73864.63177928106	200.0	1.0	1.0	7	80951.3245904772	53671.13787262595	177098.8938793285	-50.976902867662524	200.0	140000	140000	86298.56	67752.21	255297.72	-4309.316	86298.99	67751.24	254247.03	-3761.3926	3.9981184	3.1600003	55.962646	-13.194329	-86490.85	2197993.2	2228908.2	29.951822229099275	0.0	0.0	0.69	1305.0467059612274
136140.5956215562	33776.424888696805	163784.7544390937	71743.53298752251	200.0	1.0	1.0	160353.86741291836	0.0	160353.86741291836	160353.86741291836	200.0	1.0	1.0	8	97241.44047498841	46328.44020435427	164904.4829810749	-46.08957441406507	200.0	160000	160000	92508.945	63823.98	250387.9	-6278.333	92509.05	63823.28	250381.7	-5515.4834	3.988269	2.8808007	75.7636	-13.609127	-92670.22	1521395.4	1555120.8	25.772231951332092	0.0	0.0	0.84	1492.7513065338135
69173.21726457981	59271.275861058435	141186.65253613557	-48.15495254916998	200.0	0.7	0.7	129712.61554970047	0.0	129712.61554970047	129712.61554970047	200.0	1.0	1.0	9	112465.13779144833	45525.85708362844	187623.79942893985	-43.376841400414605	200.0	180000	180000	96418.445	62210.535	240274.92	-3449.085	96418.55	62210.086	242020.3	-3311.5208	3.9932594	2.9252632	70.225464	-10.992755	-96550.3	1075040.6	1092067.9	18.829448008918764	0.0	0.0	0.87	1680.943298816681
95734.18772189868	14976.655893962152	119972.54897643122	75882.48456549882	200.0	1.0	1.0	108138.31144634477	0.0	108138.31144634477	108138.31144634477	200.0	1.0	1.0	10	111838.8003684066	52618.6171683361	180515.841956557	-47.9883517274069	200.0	200000	200000	98353.055	63980.684	237240.53	2222.5483	98352.87	63980.684	237533.77	1885.6099	4.0085697	2.9817715	42.980663	-12.224539	-98473.54	1077703.9	1086026.4	18.355296096515655	0.0	0.0	0.84	1869.4976890087128
