test/stochastic/0/stick-pull-v1/return/avg	test/stochastic/0/stick-pull-v1/return/std	test/stochastic/0/stick-pull-v1/return/max	test/stochastic/0/stick-pull-v1/return/min	test/stochastic/0/stick-pull-v1/ep_length	test/stochastic/0/stick-pull-v1/success	test/stochastic/average_success	test/deterministic/0/stick-pull-v1/return/avg	test/deterministic/0/stick-pull-v1/return/std	test/deterministic/0/stick-pull-v1/return/max	test/deterministic/0/stick-pull-v1/return/min	test/deterministic/0/stick-pull-v1/ep_length	test/deterministic/0/stick-pull-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
3276.2705365356683	6953.729063207566	21438.236328125	-36.77929629067102	200.0	0.0	0.0	12453.477694268198	0.0	12453.477694268198	12453.477694268198	200.0	0.0	0.0	17	7363.160294634992	13410.654504669616	75928.3984375	-61.18487604916217	200.0	340000	340000	2769.0847	4783.6035	70101.48	-7736.893	2769.1477	4783.856	69742.99	-7422.4824	4.022153	4.665013	107.536514	-13.845039	-2813.566	84919.58	82679.73	2.7827448360085487	0.0	0.0	0.03	3082.2718830108643
3266.1799934129294	5024.535521530657	14044.416015625	-14.439122200012207	200.0	0.0	0.0	10087.763	0.0	10087.763	10087.763	200.0	0.0	0.0	18	21132.719351556934	25493.92760394585	107444.234375	-41.66922876471403	200.0	360000	360000	4240.2627	6123.4243	83305.13	-9027.002	4240.013	6123.9487	84331.56	-8446.694	4.001331	4.1185617	70.53011	-14.093007	-4295.3794	109035.61	107111.516	3.179087467098236	0.0	0.0	0.09	3268.5760169029236
48369.37409412182	30103.90970655993	92227.53125	-35.00857288469919	200.0	0.3	0.3	58492.426	0.0	58492.426	58492.426	200.0	0.0	0.0	19	42114.99277259219	40266.92853654401	199754.34375	-91.44415453371896	200.0	380000	380000	6069.0776	7669.0723	82947.914	-11156.194	6068.9907	7669.083	83020.164	-11589.96	4.0077963	4.039546	49.551277	-13.835007	-6140.0396	142006.81	140475.23	4.123182971024513	0.0	0.0	0.23	3455.6794667243958
14105.414647173948	31144.707620145982	99949.765625	-70.37087941101632	200.0	0.0	0.0	-6.121983	0.0	-6.121983	-6.121983	200.0	0.0	0.0	20	84971.9136335023	90308.96165082062	418278.875	-38.40920075676119	200.0	400000	400000	9996.675	13035.456	96382.61	-24612.68	9996.698	13035.238	95754.77	-24230.934	4.0215054	4.2272735	66.74283	-13.895502	-10115.915	338618.88	337865.6	6.687706412220002	0.0	0.0	0.28	3644.9791991710663
32167.37	68243.18	211707.25	-8.651084	200.0	0.0	0.0	-4.258009	0.0	-4.258009	-4.258009	200.0	0.0	0.0	21	119827.80269246403	102092.11723484613	456939.96875	-11.573331832885742	200.0	420000	420000	19146.473	22616.35	159866.62	-35469.332	19146.225	22616.219	159254.62	-35351.484	4.0158496	4.0168724	43.705555	-12.905431	-19369.242	826033.7	822154.75	11.990814671564102	0.0	0.0	0.3	3835.6151304244995
293926.94	165875.75	544004.3	13244.037	200.0	0.7	0.7	-10.290298377579207	0.0	-10.290298377579207	-10.290298377579207	200.0	0.0	0.0	22	138924.15405963245	112581.23860255297	427898.8125	-58.171016134499354	200.0	440000	440000	28288.326	29897.902	231695.38	-57813.812	28288.416	29897.318	236908.52	-56438.773	4.003225	4.007497	55.917465	-16.465528	-28510.182	1470264.4	1465195.4	15.754449719905853	0.0	0.0	0.52	4026.948040008545
28577.023461456865	35775.60166005457	79997.578125	-13.801709498284584	200.0	0.1	0.1	77883.54	0.0	77883.54	77883.54	200.0	0.0	0.0	23	124155.7621690965	112680.08166734112	455564.75	-57.355769195787175	200.0	460000	460000	32989.496	37179.156	288418.38	-80507.46	32989.69	37178.312	292830.78	-82028.4	4.0108066	4.138956	60.504303	-15.177043	-33182.562	2570074.2	2556722.8	18.573712028312684	0.0	0.0	0.45	4216.699152231216
235392.3	85924.57	332000.72	71890.32	200.0	0.0	0.0	316602.2	0.0	316602.2	316602.2	200.0	0.0	0.0	24	156464.5036619039	113779.47977325483	465670.4375	-16.298594925071203	200.0	480000	480000	38636.17	47974.816	328399.78	-106717.445	38636.785	47974.305	330573.4	-107720.5	4.0056467	4.223742	62.220997	-12.689457	-38886.406	4727428.5	4710888.0	25.53499615421295	0.0	0.0	0.47	4407.70417881012
165898.03	134412.58	315879.03	11.391648	200.0	0.0	0.0	14.8182	0.0	14.8182	14.8182	200.0	0.0	0.0	25	156594.86	115641.95	424824.3	-20.082264	200.0	500000	500000	47323.16	57933.92	337870.72	-106427.055	47325.125	57932.1	338136.78	-104341.36	4.004345	4.0807176	59.283936	-16.565351	-47667.477	6762054.5	6761521.0	31.29984433889389	0.0	0.0	0.5	4598.526536226273
145476.32740425237	88785.04277549683	270142.1875	-16.80701216375712	200.0	0.3	0.3	145553.42	0.0	145553.42	145553.42	200.0	0.0	0.0	26	161666.98	125667.95	552171.7	-14.698267	200.0	520000	520000	55258.977	63474.32	345676.62	-129237.38	55261.39	63470.84	345381.34	-128864.945	4.0026884	4.0228786	60.270844	-14.304086	-55650.33	8020980.5	8092783.5	34.21247734880448	0.0	0.0	0.48	4789.227069616318
