test/stochastic/0/push-wall-v1/return/avg	test/stochastic/0/push-wall-v1/return/std	test/stochastic/0/push-wall-v1/return/max	test/stochastic/0/push-wall-v1/return/min	test/stochastic/0/push-wall-v1/ep_length	test/stochastic/0/push-wall-v1/success	test/stochastic/average_success	test/deterministic/0/push-wall-v1/return/avg	test/deterministic/0/push-wall-v1/return/std	test/deterministic/0/push-wall-v1/return/max	test/deterministic/0/push-wall-v1/return/min	test/deterministic/0/push-wall-v1/ep_length	test/deterministic/0/push-wall-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-40.10376467665229	5.57582182190528	-26.027746276132635	-45.4487508616166	200.0	0.0	0.0	-55.74423194690407	0.0	-55.74423194690407	-55.74423194690407	200.0	0.0	0.0	1	-14.705579952212977	229.67735556064005	2253.5194977722563	-97.11965022514138	200.0	20000	20000	12.956787	18.23873	1358.0164	-34.478706	12.957854	18.239538	1277.0887	-30.975452	3.2239952	7.9546623	207.1994	-16.113138	-13.41129	4.875578	4.7959046	0.12266244213977878	0.0	0.0	0.0	197.37914967536926
7259.825914719191	10140.081937835861	28349.750410534725	-106.06382205786545	200.0	0.0	0.0	-110.66932475404114	0.0	-110.66932475404114	-110.66932475404114	200.0	0.0	0.0	2	616.578610931715	2326.903304786214	15856.01382536167	-106.98770820708413	200.0	40000	40000	115.48156	519.8074	7382.451	-225.89368	115.484	519.776	7387.91	-213.32193	4.434247	7.519044	171.49179	-16.064066	-119.68133	632.0463	645.9143	0.19321134265847503	0.0	0.0	0.0	418.3717794418335
-96.35328949152264	1.8144017883176324	-92.7085049795145	-98.88835191989207	200.0	0.0	0.0	-96.50883834031272	0.0	-96.50883834031272	-96.50883834031272	200.0	0.0	0.0	3	4186.522439190406	6297.85524285016	29748.706453200244	-92.08899863958455	200.0	60000	60000	1584.8463	1911.5984	12034.568	-1143.2164	1584.8849	1911.5631	12091.554	-1189.4576	4.0677595	4.4572396	118.386505	-13.5000925	-1607.5795	6554.3896	6512.0874	1.1263598997116089	0.0	0.0	0.02	636.0971133708954
3909.248982864955	5657.240156901927	16386.11042773008	-18.09759511379973	200.0	0.1	0.1	664.1793438232595	0.0	664.1793438232595	664.1793438232595	200.0	0.0	0.0	4	8551.984567472438	25593.604685437673	225036.82234760403	-114.60098880746602	200.0	80000	80000	2351.2065	2497.2112	36229.473	-4461.583	2351.2004	2497.421	36371.76	-4560.2476	4.018659	3.578814	79.33158	-12.532857	-2360.9224	21221.533	20705.865	1.2610241235107182	0.0	0.0	0.07	853.036851644516
2889.642767930116	3654.125263697846	11580.3766248078	-75.48229748461111	200.0	0.0	0.0	-21.1774616082471	0.0	-21.1774616082471	-21.1774616082471	200.0	0.0	0.0	5	10447.25260368346	24707.289949686787	138968.42856324228	-69.08502437718899	200.0	100000	100000	4362.007	8385.147	122668.0	-10395.915	4362.0513	8385.246	123374.23	-10737.274	4.0631514	4.1797895	90.06831	-12.437046	-4413.7954	220693.05	219169.44	3.916728043526411	0.0	0.0	0.12	1068.3364078998566
31271.974068898573	92557.93515512682	308936.5582245564	-91.39332668487988	200.0	0.1	0.1	1392.2870885437171	0.0	1392.2870885437171	1392.2870885437171	200.0	0.0	0.0	6	12660.11013458064	31248.788447755156	211560.0806355349	-130.94950883112378	200.0	120000	120000	8825.41	15169.099	138042.08	-22910.268	8825.528	15170.018	138112.97	-19985.006	4.0116525	4.156259	97.68199	-14.136131	-8914.852	574423.0	562492.44	7.08501516430378	0.0	0.0	0.24	1285.9706563949585
647.8380075523862	1574.6267015706446	5309.90722711741	-39.37677809594636	200.0	0.0	0.0	-28.484646301400627	0.0	-28.484646301400627	-28.484646301400627	200.0	0.0	0.0	7	24588.927835519655	43564.23679958664	204235.56251713258	-85.83868306159073	200.0	140000	140000	11428.763	18051.375	170129.69	-22734.186	11428.964	18052.074	166964.48	-20545.172	4.0155635	3.9768064	68.54364	-14.035239	-11531.209	866018.1	850930.7	9.587846668934823	0.0	0.0	0.33	1503.1057744026184
39021.471775654376	62349.815518278636	215024.48196097623	-60.324018576103164	200.0	0.3	0.3	20816.523752654124	0.0	20816.523752654124	20816.523752654124	200.0	0.0	0.0	8	42628.97205550612	61539.351570709485	238243.27567713565	-94.49059515441911	200.0	160000	160000	14485.84	22642.121	184525.77	-23093.254	14485.772	22644.125	181608.42	-23408.73	4.0034933	3.8894875	60.06257	-16.202002	-14580.712	1269685.0	1222200.5	10.996787163877487	0.0	0.0	0.42	1713.8853766918182
6769.110765721582	11042.782292377877	36524.83010414324	-47.38166600161746	200.0	0.3	0.3	79699.93140466687	0.0	79699.93140466687	79699.93140466687	200.0	1.0	1.0	9	49802.38140042014	68318.21316662701	262126.7630219305	-98.38534951641104	200.0	180000	180000	18826.232	28935.086	176379.36	-32868.797	18826.46	28936.096	177100.8	-33929.848	4.0039783	3.9292169	57.904213	-12.528606	-18976.617	1857032.4	1828645.1	13.284818981647492	0.0	0.0	0.45	1927.339730501175
26166.026109449216	47342.87631153318	161913.73568679768	-31.649495101528444	200.0	0.2	0.2	-1.4530129206936246	0.0	-1.4530129206936246	-1.4530129206936246	200.0	0.0	0.0	10	39918.42819892924	62699.061940181076	234365.09756541823	-80.67951147324081	200.0	200000	200000	23392.121	34406.297	175750.52	-42448.95	23391.996	34407.63	177186.83	-43788.67	4.0001783	3.8317027	79.43639	-14.9310255	-23545.807	2399120.2	2365184.5	14.557060003089905	0.0	0.0	0.39	2138.3168132305145
24795.18182552745	33445.34066537696	96790.80518196554	-38.88678604303699	200.0	0.3	0.3	5470.364165401024	0.0	5470.364165401024	5470.364165401024	200.0	0.0	0.0	11	40713.202857718235	67592.05857732624	268189.16341688257	-99.47170212806388	200.0	220000	220000	25274.846	36639.938	177964.28	-43786.44	25275.076	36641.645	177079.48	-43697.42	3.9990585	3.7842183	47.810432	-13.860438	-25416.727	2733801.0	2678106.0	14.948991449928284	0.0	0.0	0.34	2349.6089203357697
49458.605925903576	101108.48973218742	338523.6828636561	-32.987588704383505	200.0	0.4	0.4	14396.412117853251	0.0	14396.412117853251	14396.412117853251	200.0	0.0	0.0	12	43765.38338744171	67552.28679223116	265814.0062464721	-68.75286673211089	200.0	240000	240000	25320.701	37167.246	175156.27	-41069.21	25320.898	37168.23	176010.9	-41647.934	4.002261	3.7859502	56.12078	-14.897615	-25439.201	2776576.5	2743615.0	15.521420108222962	0.0	0.0	0.33	2560.059364080429
44225.679708253636	71020.0895026486	219761.7583039603	-49.89227632858992	200.0	0.3	0.3	8834.14788683139	0.0	8834.14788683139	8834.14788683139	200.0	0.0	0.0	13	37837.1344407625	58077.574103404644	251132.3643085154	-90.18981669187465	200.0	260000	260000	24482.518	36258.004	162907.73	-43261.3	24482.59	36258.94	162576.1	-40513.16	4.001428	3.8067098	46.17842	-14.502222	-24566.422	2604328.2	2577917.5	15.363467527008057	0.0	0.0	0.35	2764.282531261444
42261.0094516256	67115.02474471502	175100.22895897864	-17.717576994882865	200.0	0.3	0.3	144447.56967712883	0.0	144447.56967712883	144447.56967712883	200.0	1.0	1.0	14	57377.03185617735	77638.76443792532	253262.9017604867	-78.81465834577108	200.0	280000	280000	23995.455	36211.867	164166.1	-42616.996	23995.53	36211.98	164900.1	-40660.23	3.9994586	3.7247102	49.84137	-13.698097	-24073.248	2566619.2	2554525.0	14.726320775604249	0.0	0.0	0.44	2971.074776649475
82815.48300992067	71131.62381190015	196140.82214822044	2597.41645878633	200.0	0.6	0.6	187676.91674829728	0.0	187676.91674829728	187676.91674829728	200.0	1.0	1.0	15	84126.38468688802	89706.91740322713	296355.5187099013	-79.81296812248354	200.0	300000	300000	25138.791	38202.34	168681.0	-43052.902	25139.037	38202.414	167987.69	-42028.44	4.0034676	3.6231737	54.490074	-13.811386	-25228.146	2905616.5	2898552.8	14.535891694021226	0.0	0.0	0.53	3178.7688040733337
63406.719759896456	65368.58428851772	189919.17248796258	-92.81467323098416	200.0	0.4	0.4	145669.1712043563	0.0	145669.1712043563	145669.1712043563	200.0	1.0	1.0	16	71415.13520521631	83968.30264517141	292907.44950894814	-71.40480225607024	200.0	320000	320000	28082.623	40451.176	173120.38	-47285.13	28083.094	40451.453	175236.62	-46916.223	3.9998147	3.572452	63.273895	-15.490896	-28173.898	3290934.8	3281071.2	15.746368638896943	0.0	0.0	0.55	3383.96173453331
107653.8974736183	73629.63091957205	215693.0850805862	334.4654831898432	200.0	0.5	0.5	133.35651340034286	0.0	133.35651340034286	133.35651340034286	200.0	0.0	0.0	17	81343.1641596214	87651.22777391347	307872.9285453513	-53.44520825005989	200.0	340000	340000	29586.195	41446.06	174912.25	-50184.19	29586.572	41446.285	175279.08	-51236.664	4.0003705	3.5320058	55.414223	-16.609104	-29678.81	3455262.8	3447386.0	16.553365391635896	0.0	0.0	0.57	3589.447654247284
62813.12373014665	89641.86643263669	274153.32843225484	-24.884154387187323	200.0	0.4	0.4	16684.133734514806	0.0	16684.133734514806	16684.133734514806	200.0	0.0	0.0	18	87966.4554172966	89213.25864036201	317647.0739961468	-54.828630063768045	200.0	360000	360000	31454.457	42009.184	172571.44	-59935.21	31454.963	42009.098	171906.19	-59862.566	4.003291	3.4757922	51.238968	-13.3862	-31531.658	3566454.8	3562017.2	17.133761012125014	0.0	0.0	0.58	3794.273978471756
38538.66861465276	44332.24030565348	122872.85257531924	-43.06230399690251	200.0	0.6	0.6	6104.797470974437	0.0	6104.797470974437	6104.797470974437	200.0	1.0	1.0	19	89967.81922803508	83741.63165253836	323392.05803402665	-54.77636460126854	200.0	380000	380000	33371.16	42951.67	174265.86	-59602.94	33371.758	42951.363	175657.8	-59880.016	4.0008445	3.449581	47.881287	-15.041773	-33465.113	3844731.8	3850961.8	18.275395058250428	0.0	0.0	0.58	4001.0979368686676
105832.1967918349	74417.00743774611	237758.1716532714	-22.314395135825695	200.0	0.7	0.7	127639.66294242577	0.0	127639.66294242577	127639.66294242577	200.0	1.0	1.0	20	93033.95848538495	88373.92559047208	303374.52046655625	-47.593490561505824	200.0	400000	400000	35950.188	44324.844	177373.0	-51508.227	35950.7	44324.67	178520.69	-52938.426	4.000538	3.4357533	61.967148	-13.461833	-36043.863	3975997.8	3980976.5	19.130411640834808	0.0	0.0	0.58	4205.299391746521
56683.41548012609	57555.68164601062	163353.80467497985	-40.965902706255626	200.0	0.3	0.3	1720.7639659590034	0.0	1720.7639659590034	1720.7639659590034	200.0	0.0	0.0	21	91679.57404690029	84789.16743659248	297241.87008777796	-16.558196349271974	200.0	420000	420000	38303.16	45553.645	181732.6	-50459.9	38303.453	45553.492	181616.5	-52393.12	4.001778	3.3839135	46.760563	-12.949858	-38395.02	4202156.5	4203796.0	19.856312507629394	0.0	0.0	0.6	4410.941326141357
151554.29744365558	80322.30339121574	265435.8690145794	7386.160761557384	200.0	0.9	0.9	2472.9250832679677	0.0	2472.9250832679677	2472.9250832679677	200.0	0.0	0.0	22	105041.74751663148	89825.89182011755	286428.53667500766	-42.390142737503986	200.0	440000	440000	39190.574	46682.19	185082.9	-50935.34	39190.664	46681.133	185987.92	-51384.492	4.001265	3.3733501	49.269367	-15.212074	-39267.457	4315562.0	4369401.5	20.44493066301346	0.0	0.0	0.66	4619.000714063644
106255.06641998573	79435.21902154316	252963.8424060198	632.5105895633374	200.0	0.8	0.8	295458.8987492732	0.0	295458.8987492732	295458.8987492732	200.0	1.0	1.0	23	90197.695054655	85293.46014959046	280038.0707086941	-133.87757359376238	200.0	460000	460000	40188.715	47422.35	182949.12	-56049.47	40189.27	47421.477	182594.89	-58712.645	4.0027924	3.356622	57.158916	-14.732912	-40256.31	4530749.5	4546775.5	20.56045468635559	0.0	0.0	0.63	4826.835225105286
54343.091355934666	50007.92161524678	158260.09386604594	1572.6348384704359	200.0	0.2	0.2	11407.70277131129	0.0	11407.70277131129	11407.70277131129	200.0	0.0	0.0	24	113156.66192578878	93073.33109974158	326157.33639301016	-53.320684575797046	200.0	480000	480000	41615.76	48164.926	178891.14	-55460.85	41616.363	48164.35	182196.47	-56377.402	4.0030484	3.3522022	44.042103	-13.345012	-41678.58	4637700.0	4643750.5	21.593818221092224	0.0	0.0	0.73	5031.460530757904
63327.048609575526	80663.7645186867	269067.15560801135	5777.720616927421	200.0	0.7	0.7	6450.538167344995	0.0	6450.538167344995	6450.538167344995	200.0	0.0	0.0	25	105644.92213414569	91867.30687581564	309780.5057320852	-94.25364679786811	200.0	500000	500000	43136.914	48747.0	182206.44	-63490.4	43137.297	48746.723	182217.45	-64904.52	3.998354	3.278841	54.124367	-13.085727	-43200.426	4735376.5	4751555.5	21.639188546276092	0.0	0.0	0.66	5236.178556680679
