test/stochastic/0/push-wall-v1/return/avg	test/stochastic/0/push-wall-v1/return/std	test/stochastic/0/push-wall-v1/return/max	test/stochastic/0/push-wall-v1/return/min	test/stochastic/0/push-wall-v1/ep_length	test/stochastic/0/push-wall-v1/success	test/stochastic/average_success	test/deterministic/0/push-wall-v1/return/avg	test/deterministic/0/push-wall-v1/return/std	test/deterministic/0/push-wall-v1/return/max	test/deterministic/0/push-wall-v1/return/min	test/deterministic/0/push-wall-v1/ep_length	test/deterministic/0/push-wall-v1/success	test/deterministic/average_success	epoch	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	train/q1_vals/avg	train/q1_vals/std	train/q1_vals/max	train/q1_vals/min	train/q2_vals/avg	train/q2_vals/std	train/q2_vals/max	train/q2_vals/min	train/log_pi/avg	train/log_pi/std	train/log_pi/max	train/log_pi/min	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/loss_reg	train/agem_violation	train/success	walltime
-5.672961297328714	24.527230072723977	45.17048712200399	-36.79996295324832	200.0	0.0	0.0	-12.878246174449771	0.0	-12.878246174449771	-12.878246174449771	200.0	0.0	0.0	1	-14.118400517482128	86.74334774728872	736.131936091037	-67.77623571220317	200.0	20000	20000	106.29197	106.8596	423.62738	-24.907007	106.29169	106.85975	430.43323	-25.20406	3.0489564	5.9286933	58.994892	-12.766039	-108.5021	7.912393	7.9970946	0.19299763829613986	0.0	0.0	0.0	169.4148223400116
-45.05204206526243	24.575024753130045	9.383416151943097	-73.07829467404736	200.0	0.0	0.0	-19.24030926788469	0.0	-19.24030926788469	-19.24030926788469	200.0	0.0	0.0	2	206.80461866343074	1584.8226018321236	14998.11350228666	-116.7497583208439	200.0	40000	40000	150.06435	378.17422	9890.167	-447.3829	150.07378	378.1791	9696.353	-443.97714	4.8221755	8.719532	289.1762	-14.910296	-151.45876	526.0689	514.0605	0.2469150968229398	0.0	0.0	0.01	356.99361968040466
696.8828555171306	1634.718430050514	5461.368139628703	-51.82887682925917	200.0	0.0	0.0	-67.90112675526781	0.0	-67.90112675526781	-67.90112675526781	200.0	0.0	0.0	3	1840.1635965757832	4612.4866311013475	29163.0013873294	-100.78893784147473	200.0	60000	60000	613.4706	1480.2217	20494.58	-1327.6606	613.4945	1480.2584	20430.271	-1292.6151	4.1306014	6.5019913	173.31888	-13.481269	-620.273	3358.6685	3254.4636	0.37543116809353233	0.0	0.0	0.02	539.5320386886597
27142.40136355312	61978.21089409173	210158.4144574149	-65.80929273016962	200.0	0.1	0.1	9379.990799160814	0.0	9379.990799160814	9379.990799160814	200.0	0.0	0.0	4	8958.046619773106	27010.407456261717	214834.7844337218	-82.9497933005741	200.0	80000	80000	2090.9897	4808.619	74831.266	-3613.6125	2091.1128	4808.856	75286.38	-3609.304	4.1087136	5.512969	105.31404	-13.528715	-2113.2217	63647.547	61720.78	1.4417035485982894	0.0	0.0	0.13	721.7047798633575
2103.8214597404726	2507.083442173048	7192.933844955121	-57.331023746491816	200.0	0.1	0.1	456.1807894486289	0.0	456.1807894486289	456.1807894486289	200.0	0.0	0.0	5	8306.246784028282	24401.541773339202	147939.34284020538	-142.1800960003759	200.0	100000	100000	5116.136	12191.109	152743.47	-7384.2256	5116.2993	12192.783	151653.3	-7330.655	4.043879	4.9207444	80.70226	-13.871947	-5179.338	489606.9	466084.6	5.032321932172775	0.0	0.0	0.1	904.1176524162292
10235.772600255834	30584.924166788805	101989.55042474467	-104.10220443787817	200.0	0.1	0.1	-71.51757584049368	0.0	-71.51757584049368	-71.51757584049368	200.0	0.0	0.0	6	14814.215969713103	40572.45552794062	212417.2779288237	-172.34611109651573	200.0	120000	120000	9347.439	21559.926	177482.39	-14635.939	9347.531	21560.398	176169.72	-16171.595	4.0256553	4.9431877	83.44632	-13.546465	-9454.687	1226119.9	1211327.6	8.32651120080948	0.0	0.0	0.16	1086.1960496902466
19483.771770044612	42337.136484362374	142379.44577195545	-35.35858133967856	200.0	0.1	0.1	5264.2774566496155	0.0	5264.2774566496155	5264.2774566496155	200.0	0.0	0.0	7	18915.806109214303	47448.947015540834	287441.2281569837	-81.44287096671044	200.0	140000	140000	15700.624	28668.79	186429.22	-22017.48	15700.423	28669.393	186021.73	-21202.27	4.009903	4.6449594	78.4671	-13.547401	-15869.181	1762388.0	1741566.4	11.429342586374283	0.0	0.0	0.18	1269.0995647907257
23083.853716148427	39209.606541011795	102320.38593643377	-46.328303094723864	200.0	0.2	0.2	888.2143807726486	0.0	888.2143807726486	888.2143807726486	200.0	0.0	0.0	8	24318.214809256617	39385.75971702907	174420.20245445694	-52.69189905805164	200.0	160000	160000	18488.705	28180.834	188843.38	-25368.82	18488.586	28180.697	188977.1	-25594.527	4.0049896	3.9695182	84.19187	-14.079889	-18619.97	1651123.6	1656165.4	12.036236378526688	0.0	0.0	0.27	1450.395887374878
4236.103031755841	12546.632684014026	41868.96412211815	-84.78964533847088	200.0	0.0	0.0	-69.59031752870196	0.0	-69.59031752870196	-69.59031752870196	200.0	0.0	0.0	9	36768.784846795745	50831.96373284221	244563.9428641095	-115.2969845165656	200.0	180000	180000	19295.451	26566.152	165102.88	-31646.887	19295.848	26565.145	165464.83	-32284.38	3.9955628	3.8809566	78.98466	-14.831072	-19410.373	1479819.6	1508180.5	11.473730512189865	0.0	0.0	0.42	1632.7996137142181
92846.26488666509	89405.03634740293	263953.6637737387	1019.3714897556631	200.0	0.5	0.5	10196.573682925557	0.0	10196.573682925557	10196.573682925557	200.0	0.0	0.0	10	41239.42707385341	66865.56826328523	292567.9086894353	-47.02102635273977	200.0	200000	200000	18439.234	27284.99	162466.89	-32057.45	18439.65	27284.137	161960.39	-31654.197	4.0036955	3.8400378	95.34163	-12.851629	-18536.057	1622703.1	1637262.5	11.076789599275589	0.0	0.0	0.32	1813.6294748783112
